format=1 tracks=10 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 192
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Solar Striker - "Canyon Slide""
BA    1   CR         0   TR  8   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  8   CH  9   Channel volume 127
BA    1   CR         0   TR  8   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  8   CH  9   Instrument 31
BA    1   CR         0   TR  8   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  8   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  8   CH  9   Channel volume 127
BA    1   CR         0   TR  8   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  8   CH  9   Instrument 31
BA    1   CR         0   TR  8   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  8   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  8   CH  9   Channel volume 127
BA    1   CR         0   TR  8   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  8   CH  9   Instrument 31
BA    1   CR         0   TR  9   CH 16   Text type 3: "Hope you enjoy it!"
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 127
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 127
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 127
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 127
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   NT  F#--        47/96   von=99   voff=99
BA    1   CR         0   TR  9   CH 10   NT  E-          95/96   voff=99
BA    1   CR         0   TR  9   CH 10   NT  C#-         95/96   voff=99
BA    1   CR         0   TR  9   CH 10   NT  C--         95/96   voff=99
BA    1   CR         1   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    1   CR         1   TR  9   CH 10   NT  C--         47/96   voff=99
BA    1   CR     1+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    1   CR     1+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    1   CR         2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    1   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    1   CR         2   TR  9   CH 10   NT  Bb--        47/96   voff=99
BA    1   CR         2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    1   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    1   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    1   CR         3   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    1   CR     3+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    1   CR     3+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99

BA    2   CR         0   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    2   CR         0   TR  9   CH 10   NT  C--         95/96   voff=99
BA    2   CR         1   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    2   CR         1   TR  9   CH 10   NT  C--         47/96   voff=99
BA    2   CR     1+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    2   CR     1+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    2   CR         2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    2   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    2   CR         2   TR  9   CH 10   NT  Bb--        47/96   voff=99
BA    2   CR         2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    2   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    2   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    2   CR         3   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    2   CR     3+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    2   CR     3+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99

BA    3   CR         0   TR  9   CH 10   NT  C--         95/96   voff=99
BA    3   CR         0   TR  9   CH 10   NT  C#-         95/96   voff=99
BA    3   CR         0   TR  9   CH 10   NT  E-          95/96   voff=99
BA    3   CR         0   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    3   CR         1   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    3   CR         1   TR  9   CH 10   NT  C--         47/96   voff=99
BA    3   CR     1+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    3   CR     1+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    3   CR         2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    3   CR         2   TR  9   CH 10   NT  Bb--        95/96   voff=99
BA    3   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    3   CR         2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    3   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    3   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    3   CR         3   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    3   CR     3+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    3   CR     3+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99

BA    4   CR         0   TR  9   CH 10   NT  C--         47/96   voff=99
BA    4   CR         0   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR         0   TR  9   CH 10   NT  D-          23/96   voff=99
BA    4   CR       1/4   TR  9   CH 10   NT  D-          23/96   voff=99
BA    4   CR       1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    4   CR       1/2   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR       1/2   TR  9   CH 10   NT  D-          23/96   voff=99
BA    4   CR       3/4   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR       3/4   TR  9   CH 10   NT  D-          23/96   voff=99
BA    4   CR         1   TR  9   CH 10   NT  C--         47/96   voff=99
BA    4   CR         1   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR         1   TR  9   CH 10   NT  C-          23/96   voff=99
BA    4   CR     1+1/4   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR     1+1/4   TR  9   CH 10   NT  C-          23/96   voff=99
BA    4   CR     1+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    4   CR     1+1/2   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR     1+1/2   TR  9   CH 10   NT  C-          23/96   voff=99
BA    4   CR     1+3/4   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR     1+3/4   TR  9   CH 10   NT  C-          23/96   voff=99
BA    4   CR         2   TR  9   CH 10   NT  C--         23/96   voff=99
BA    4   CR         2   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR         2   TR  9   CH 10   NT  B--         23/96   voff=99
BA    4   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    4   CR     2+1/4   TR  9   CH 10   NT  C--         23/96   voff=99
BA    4   CR     2+1/4   TR  9   CH 10   NT  B--         23/96   voff=99
BA    4   CR     2+1/2   TR  9   CH 10   NT  C--         23/96   voff=99
BA    4   CR     2+1/2   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    4   CR     2+1/2   TR  9   CH 10   NT  B--         23/96   voff=99
BA    4   CR     2+3/4   TR  9   CH 10   NT  C--         23/96   voff=99
BA    4   CR     2+3/4   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR     2+3/4   TR  9   CH 10   NT  B--         23/96   voff=99
BA    4   CR         3   TR  9   CH 10   NT  D--         23/96   voff=99
BA    4   CR         3   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR         3   TR  9   CH 10   NT  A--         23/96   voff=99
BA    4   CR     3+1/4   TR  9   CH 10   NT  D--         23/96   voff=99
BA    4   CR     3+1/4   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR     3+1/4   TR  9   CH 10   NT  A--         23/96   voff=99
BA    4   CR     3+1/2   TR  9   CH 10   NT  D--         23/96   voff=99
BA    4   CR     3+1/2   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR     3+1/2   TR  9   CH 10   NT  A--         23/96   voff=99
BA    4   CR     3+3/4   TR  9   CH 10   NT  D--         23/96   voff=99
BA    4   CR     3+3/4   TR  9   CH 10   NT  F#--        23/96   voff=99
BA    4   CR     3+3/4   TR  9   CH 10   NT  A--         23/96   voff=99

BA    5   CR         0   TR  1   CH  1   Channel volume 127
BA    5   CR         0   TR  2   CH  2   Channel volume 127
BA    5   CR         0   TR  3   CH  3   Channel volume 127
BA    5   CR         0   TR  4   CH  4   Channel volume 127
BA    5   CR         0   TR  5   CH  5   Channel volume 127
BA    5   CR         0   TR  6   CH  7   Channel volume 127
BA    5   CR         0   TR  7   CH  8   Channel volume 127
BA    5   CR         0   TR  7   CH  8   NT  B--         47/96   von=99   voff=99
BA    5   CR         0   TR  8   CH  9   Channel volume 127
BA    5   CR         0   TR  9   CH 10   Channel volume 127
BA    5   CR         0   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    5   CR         0   TR  9   CH 10   NT  E-          95/96   voff=99
BA    5   CR         0   TR  9   CH 10   NT  C#-         95/96   voff=99
BA    5   CR         0   TR  9   CH 10   NT  C--         95/96   voff=99
BA    5   CR       1/2   TR  7   CH  8   NT  B--         47/96   voff=99
BA    5   CR         1   TR  7   CH  8   NT  A--         47/96   voff=99
BA    5   CR         1   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    5   CR         1   TR  9   CH 10   NT  C--         47/96   voff=99
BA    5   CR     1+1/2   TR  7   CH  8   NT  B--         47/96   voff=99
BA    5   CR     1+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    5   CR     1+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    5   CR         2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    5   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    5   CR         2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    5   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    5   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    5   CR         3   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    5   CR     3+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    5   CR     3+1/2   TR  9   CH 10   NT  C--         47/96   voff=99

BA    6   CR         0   TR  7   CH  8   NT  D-          47/96   voff=99
BA    6   CR         0   TR  9   CH 10   NT  C--         47/96   voff=99
BA    6   CR       1/2   TR  7   CH  8   NT  D-          47/96   voff=99
BA    6   CR       1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    6   CR         1   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    6   CR     1+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    6   CR         2   TR  7   CH  8   NT  E-          47/96   voff=99
BA    6   CR         2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    6   CR         2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    6   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    6   CR     2+1/2   TR  7   CH  8   NT  E-          47/96   voff=99
BA    6   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    6   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    6   CR         3   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    6   CR     3+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99

BA    7   CR         0   TR  7   CH  8   NT  B--         47/96   voff=99
BA    7   CR         0   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    7   CR         0   TR  9   CH 10   NT  C--         95/96   voff=99
BA    7   CR       1/2   TR  7   CH  8   NT  B--         47/96   voff=99
BA    7   CR         1   TR  7   CH  8   NT  A--         47/96   voff=99
BA    7   CR         1   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    7   CR         1   TR  9   CH 10   NT  C--         47/96   voff=99
BA    7   CR     1+1/2   TR  7   CH  8   NT  B--         47/96   voff=99
BA    7   CR     1+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    7   CR     1+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    7   CR         2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    7   CR         2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    7   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    7   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    7   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    7   CR         3   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    7   CR     3+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    7   CR     3+1/2   TR  9   CH 10   NT  C--         47/96   voff=99

BA    8   CR         0   TR  7   CH  8   NT  D-          47/96   voff=99
BA    8   CR         0   TR  9   CH 10   NT  C--         47/96   voff=99
BA    8   CR       1/2   TR  7   CH  8   NT  D-          47/96   voff=99
BA    8   CR       1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    8   CR         1   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    8   CR     1+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    8   CR         2   TR  7   CH  8   NT  A--         47/96   voff=99
BA    8   CR         2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    8   CR         2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    8   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    8   CR     2+1/2   TR  7   CH  8   NT  A--         47/96   voff=99
BA    8   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    8   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    8   CR         3   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    8   CR     3+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=99

BA    9   CR         0   TR  7   CH  8   NT  B--         47/96   voff=99
BA    9   CR         0   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    9   CR         0   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    9   CR         0   TR  9   CH 10   NT  C--         95/96   voff=99
BA    9   CR       1/2   TR  7   CH  8   NT  B--         47/96   voff=99
BA    9   CR         1   TR  7   CH  8   NT  A--         47/96   voff=99
BA    9   CR         1   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    9   CR         1   TR  9   CH 10   NT  C--         47/96   voff=99
BA    9   CR     1+1/2   TR  7   CH  8   NT  B--         47/96   voff=99
BA    9   CR     1+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    9   CR     1+1/2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    9   CR         2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    9   CR         2   TR  9   CH 10   NT  Eb--        47/96   voff=99
BA    9   CR         2   TR  9   CH 10   NT  C--         47/96   voff=99
BA    9   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   voff=99
BA    9   CR     2+1/2   TR  9   CH 10   NT  D--         47/96   voff=99
BA    9   CR         3   TR  9   CH 10   NT  F#--        47/96   voff=99
