format=1 tracks=10 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 125
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Super Mario Land 2 - "Flying Through the Cosmos""
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &4F
BA    1   CR         0   TR  8   CH  8   Channel volume 105
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 37
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &4F
BA    1   CR         0   TR  8   CH  8   Channel volume 105
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 37
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &4F
BA    1   CR         0   TR  8   CH  8   Channel volume 105
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 37
BA    1   CR         0   TR  9   CH 16   Text type 3: "beautiful person in existance.  So. . .yeah.  Mush aside, enjoy the MIDI!""
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 127
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 127
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 127
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 127
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   NT  G-          47/96   von=62   voff=62
BA    1   CR         0   TR  9   CH 10   NT  A-          47/96   voff=62
BA    1   CR         0   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    1   CR         0   TR  9   CH 10   NT  C--         47/96   voff=62
BA    1   CR       1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    1   CR       1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    1   CR       3/4   TR  2   CH  2   NT  G#''        47/96   von=99   voff=99
BA    1   CR       3/4   TR  7   CH  7   NT  F#--        71/96   voff=62
BA    1   CR       3/4   TR  8   CH  8   NT  A--         71/96   von=62   voff=62
BA    1   CR       3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    1   CR         1   TR  1   CH  1   NT  E''         47/96   voff=99
BA    1   CR         1   TR  9   CH 10   NT  D--         47/96   voff=62
BA    1   CR         1   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    1   CR     1+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    1   CR     1+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    1   CR     1+1/2   TR  7   CH  7   NT  E--         71/96   voff=62
BA    1   CR     1+1/2   TR  8   CH  8   NT  F#--        71/96   voff=62
BA    1   CR     1+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    1   CR     1+3/4   TR  1   CH  1   NT  G#''        47/96   voff=99
BA    1   CR     1+3/4   TR  2   CH  2   NT  E''         47/96   voff=99
BA    1   CR     1+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    1   CR         2   TR  9   CH 10   NT  C--         47/96   voff=62
BA    1   CR         2   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    1   CR     2+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    1   CR     2+1/4   TR  8   CH  8   NT  E--         71/96   voff=62
BA    1   CR     2+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    1   CR     2+1/2   TR  2   CH  2   NT  G#''        47/96   voff=99
BA    1   CR     2+1/2   TR  7   CH  7   NT  F#--        71/96   voff=62
BA    1   CR     2+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    1   CR     2+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    1   CR         3   TR  1   CH  1   NT  E''         47/96   voff=99
BA    1   CR         3   TR  7   CH  7   NT  A--         71/96   voff=62
BA    1   CR         3   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    1   CR         3   TR  9   CH 10   NT  D--         47/96   voff=62
BA    1   CR     3+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    1   CR     3+1/4   TR  8   CH  8   NT  F#--        71/96   voff=62
BA    1   CR     3+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    1   CR     3+1/2   TR  7   CH  7   NT  B--         47/96   voff=62
BA    1   CR     3+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    1   CR     3+3/4   TR  2   CH  2   NT  E''         47/96   voff=99
BA    1   CR     3+3/4   TR  8   CH  8   NT  A--         71/96   voff=62
BA    1   CR     3+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62

BA    2   CR         0   TR  1   CH  1   NT  G#''        47/96   voff=99
BA    2   CR         0   TR  7   CH  7   NT  A--         71/96   voff=62
BA    2   CR         0   TR  9   CH 10   NT  C--         47/96   voff=62
BA    2   CR         0   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    2   CR       1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    2   CR       1/4   TR  8   CH  8   NT  B--         47/96   voff=62
BA    2   CR       1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    2   CR       1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    2   CR       3/4   TR  2   CH  2   NT  G#''        47/96   voff=99
BA    2   CR       3/4   TR  7   CH  7   NT  F#--        71/96   voff=62
BA    2   CR       3/4   TR  8   CH  8   NT  A--         71/96   voff=62
BA    2   CR       3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    2   CR         1   TR  1   CH  1   NT  E''         47/96   voff=99
BA    2   CR         1   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    2   CR         1   TR  9   CH 10   NT  D--         47/96   voff=62
BA    2   CR     1+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    2   CR     1+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    2   CR     1+1/2   TR  7   CH  7   NT  E--         71/96   voff=62
BA    2   CR     1+1/2   TR  8   CH  8   NT  F#--        71/96   voff=62
BA    2   CR     1+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    2   CR     1+3/4   TR  1   CH  1   NT  G#''        47/96   voff=99
BA    2   CR     1+3/4   TR  2   CH  2   NT  E''         47/96   voff=99
BA    2   CR     1+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    2   CR         2   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    2   CR         2   TR  9   CH 10   NT  C--         47/96   voff=62
BA    2   CR     2+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    2   CR     2+1/4   TR  8   CH  8   NT  E--         71/96   voff=62
BA    2   CR     2+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    2   CR     2+1/2   TR  2   CH  2   NT  G#''        47/96   voff=99
BA    2   CR     2+1/2   TR  7   CH  7   NT  F#--        71/96   voff=62
BA    2   CR     2+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    2   CR     2+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    2   CR         3   TR  1   CH  1   NT  E''         47/96   voff=99
BA    2   CR         3   TR  7   CH  7   NT  A--         71/96   voff=62
BA    2   CR         3   TR  9   CH 10   NT  D--         47/96   voff=62
BA    2   CR         3   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    2   CR     3+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    2   CR     3+1/4   TR  8   CH  8   NT  F#--        71/96   voff=62
BA    2   CR     3+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    2   CR     3+1/2   TR  7   CH  7   NT  F#--        47/96   voff=62
BA    2   CR     3+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    2   CR     3+3/4   TR  2   CH  2   NT  E''         47/96   voff=99
BA    2   CR     3+3/4   TR  8   CH  8   NT  A--         71/96   voff=62
BA    2   CR     3+3/4   TR  9   CH 10   NT  D--         47/96   voff=62
BA    2   CR     3+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62

BA    3   CR         0   TR  1   CH  1   NT  A''         47/96   voff=99
BA    3   CR         0   TR  7   CH  7   NT  E--         71/96   voff=62
BA    3   CR         0   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    3   CR         0   TR  9   CH 10   NT  C--         47/96   voff=62
BA    3   CR       1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    3   CR       1/4   TR  8   CH  8   NT  F#--        47/96   voff=62
BA    3   CR       1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    3   CR       1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    3   CR       3/4   TR  2   CH  2   NT  A''         47/96   voff=99
BA    3   CR       3/4   TR  7   CH  7   NT  C#--        71/96   voff=62
BA    3   CR       3/4   TR  8   CH  8   NT  E--         71/96   voff=62
BA    3   CR       3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    3   CR         1   TR  1   CH  1   NT  E''         47/96   voff=99
BA    3   CR         1   TR  9   CH 10   NT  D--         47/96   voff=62
BA    3   CR         1   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    3   CR     1+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    3   CR     1+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    3   CR     1+1/2   TR  7   CH  7   NT  B---        71/96   voff=62
BA    3   CR     1+1/2   TR  8   CH  8   NT  C#--        71/96   voff=62
BA    3   CR     1+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    3   CR     1+3/4   TR  1   CH  1   NT  A''         47/96   voff=99
BA    3   CR     1+3/4   TR  2   CH  2   NT  E''         47/96   voff=99
BA    3   CR     1+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    3   CR         2   TR  9   CH 10   NT  C--         47/96   voff=62
BA    3   CR         2   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    3   CR     2+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    3   CR     2+1/4   TR  8   CH  8   NT  B---        71/96   voff=62
BA    3   CR     2+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    3   CR     2+1/2   TR  2   CH  2   NT  A''         47/96   voff=99
BA    3   CR     2+1/2   TR  7   CH  7   NT  C#--        71/96   voff=62
BA    3   CR     2+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    3   CR     2+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    3   CR         3   TR  1   CH  1   NT  E''         47/96   voff=99
BA    3   CR         3   TR  7   CH  7   NT  E--         71/96   voff=62
BA    3   CR         3   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    3   CR         3   TR  9   CH 10   NT  D--         47/96   voff=62
BA    3   CR     3+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    3   CR     3+1/4   TR  8   CH  8   NT  C#--        71/96   voff=62
BA    3   CR     3+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    3   CR     3+1/2   TR  7   CH  7   NT  F#--        47/96   voff=62
BA    3   CR     3+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    3   CR     3+3/4   TR  2   CH  2   NT  E''         47/96   voff=99
BA    3   CR     3+3/4   TR  8   CH  8   NT  E--         71/96   voff=62
BA    3   CR     3+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62

BA    4   CR         0   TR  1   CH  1   NT  A''         47/96   voff=99
BA    4   CR         0   TR  7   CH  7   NT  E--         71/96   voff=62
BA    4   CR         0   TR  9   CH 10   NT  C--         47/96   voff=62
BA    4   CR         0   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    4   CR       1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    4   CR       1/4   TR  8   CH  8   NT  F#--        47/96   voff=62
BA    4   CR       1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    4   CR       1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    4   CR       3/4   TR  2   CH  2   NT  A''         47/96   voff=99
BA    4   CR       3/4   TR  7   CH  7   NT  C#--        71/96   voff=62
BA    4   CR       3/4   TR  8   CH  8   NT  E--         71/96   voff=62
BA    4   CR       3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    4   CR         1   TR  1   CH  1   NT  E''         47/96   voff=99
BA    4   CR         1   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    4   CR         1   TR  9   CH 10   NT  D--         47/96   voff=62
BA    4   CR     1+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    4   CR     1+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    4   CR     1+1/2   TR  7   CH  7   NT  B---        71/96   voff=62
BA    4   CR     1+1/2   TR  8   CH  8   NT  C#--        71/96   voff=62
BA    4   CR     1+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    4   CR     1+3/4   TR  1   CH  1   NT  A''         47/96   voff=99
BA    4   CR     1+3/4   TR  2   CH  2   NT  E''         47/96   voff=99
BA    4   CR     1+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    4   CR         2   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    4   CR         2   TR  9   CH 10   NT  C--         47/96   voff=62
BA    4   CR     2+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    4   CR     2+1/4   TR  8   CH  8   NT  B---        71/96   voff=62
BA    4   CR     2+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    4   CR     2+1/2   TR  2   CH  2   NT  A''         47/96   voff=99
BA    4   CR     2+1/2   TR  7   CH  7   NT  C#--        71/96   voff=62
BA    4   CR     2+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
BA    4   CR     2+3/4   TR  9   CH 10   NT  G#--        47/96   voff=62
BA    4   CR         3   TR  1   CH  1   NT  E''         47/96   voff=99
BA    4   CR         3   TR  7   CH  7   NT  E--         71/96   voff=62
BA    4   CR         3   TR  9   CH 10   NT  D--         47/96   voff=62
BA    4   CR         3   TR  9   CH 10   NT  Eb---       47/96   voff=62
BA    4   CR     3+1/4   TR  2   CH  2   NT  F#''        47/96   voff=99
BA    4   CR     3+1/4   TR  8   CH  8   NT  C#--        71/96   voff=62
BA    4   CR     3+1/2   TR  1   CH  1   NT  F#''        47/96   voff=99
BA    4   CR     3+1/2   TR  7   CH  7   NT  F#--        47/96   voff=62
BA    4   CR     3+1/2   TR  9   CH 10   NT  D--         23/96   voff=62
BA    4   CR     3+1/2   TR  9   CH 10   NT  Bb--        47/96   voff=62
