format=1 tracks=17 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 140
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Rockman World 2 - "Grinding Grounded Gears Down" v1.3"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &2A
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 101
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &2A
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 101
BA    1   CR         0   TR  5   CH 16   Text type 3: "that got to me so much as trying to figure out a NAME for this thing!  It took"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 55
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 55
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 55
BA    1   CR         0   TR  6   CH 16   Text type 3: "me a couple of days to figure out what to call this thing since I wanted a title"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 127
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 127
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 15
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 127
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 15
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 127
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 15
BA    1   CR         0   TR  7   CH 16   Text type 3: "that didn't rely on 'sliding', 'time travel', or tread upon the title of the"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &60
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &60
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 39
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &60
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 39
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &60
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 39
BA    1   CR         0   TR  7   CH  7   NT  D-          23/96   von=100
BA    1   CR         0   TR  8   CH 16   Text type 3: "Famicom arrangement I did, 'Clockwork Metallics'.  Needless to say, I was happy"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &60
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &60
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 38
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &60
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 38
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &60
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 38
BA    1   CR         0   TR  9   CH 16   Text type 3: "when the name 'Grinding Grounded Gears Down' came up.  :D""
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &21
BA    1   CR         0   TR  9   CH  9   Channel volume 127
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &21
BA    1   CR         0   TR  9   CH  9   Channel volume 127
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 20
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &21
BA    1   CR         0   TR  9   CH  9   Channel volume 127
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 20
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &21
BA    1   CR         0   TR  9   CH  9   Channel volume 127
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 20
BA    1   CR         0   TR 10   CH 16   Text type 3: "----------------------------------------"
BA    1   CR         0   TR 10   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 10   CH 11   Channel volume 127
BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 10   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 10   CH 11   Channel volume 127
BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   Instrument 56
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 10   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 10   CH 11   Channel volume 127
BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   Instrument 56
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 10   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 10   CH 11   Channel volume 127
BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   Instrument 56
BA    1   CR         0   TR 11   CH 16   Text type 3: "Video Game MIDI Series #3, MIDI File #64 -- Sequenced on 2009, April 11"
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 96
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 96
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   Instrument 17
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 96
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   Instrument 17
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 96
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   Instrument 17
BA    1   CR         0   TR 11   CH 10   NT  E--         31/96   von=100
BA    1   CR         0   TR 12   CH 16   Text type 3: "Revision 1.3: 2010, Februrary 28"
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 12   CH 12   Channel volume 127
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 12   CH 12   Channel volume 127
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 28
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 12   CH 12   Channel volume 127
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 28
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 12   CH 12   Channel volume 127
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 28
BA    1   CR         0   TR 13   CH 16   Text type 3: "Visit "Music of the Game II:  Café De La Luna" for more MIDI goodness!"
BA    1   CR         0   TR 13   CH 13   ST &BC &0A &30
BA    1   CR         0   TR 13   CH 13   Channel volume 108
BA    1   CR         0   TR 13   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 13   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 13   CH 13   ST &BC &0A &30
BA    1   CR         0   TR 13   CH 13   Channel volume 108
BA    1   CR         0   TR 13   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 13   CH 13   Instrument 92
BA    1   CR         0   TR 13   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 13   CH 13   ST &BC &0A &30
BA    1   CR         0   TR 13   CH 13   Channel volume 108
BA    1   CR         0   TR 13   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 13   CH 13   Instrument 92
BA    1   CR         0   TR 13   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 13   CH 13   ST &BC &0A &30
BA    1   CR         0   TR 13   CH 13   Channel volume 108
BA    1   CR         0   TR 13   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 13   CH 13   Instrument 92
BA    1   CR         0   TR 14   CH 16   Text type 3: "-=( http://killermegabytesco.webhosting-for-free.com/MotG2/ )=-"
BA    1   CR         0   TR 14   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 14   CH 14   Channel volume 89
BA    1   CR         0   TR 14   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 14   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 14   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 14   CH 14   Channel volume 89
BA    1   CR         0   TR 14   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 14   CH 14   Instrument 92
BA    1   CR         0   TR 14   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 14   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 14   CH 14   Channel volume 89
BA    1   CR         0   TR 14   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 14   CH 14   Instrument 92
BA    1   CR         0   TR 14   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 14   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 14   CH 14   Channel volume 89
BA    1   CR         0   TR 14   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 14   CH 14   Instrument 92
BA    1   CR         0   TR 15   CH 16   Text type 3: " "
BA    1   CR         0   TR 15   CH 15   ST &BE &0A &50
BA    1   CR         0   TR 15   CH 15   Channel volume 71
BA    1   CR         0   TR 15   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 15   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 15   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 15   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 15   CH 15   ST &BE &0A &50
BA    1   CR         0   TR 15   CH 15   Channel volume 71
BA    1   CR         0   TR 15   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 15   CH 15   Instrument 92
BA    1   CR         0   TR 15   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 15   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 15   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 15   CH 15   ST &BE &0A &50
BA    1   CR         0   TR 15   CH 15   Channel volume 71
BA    1   CR         0   TR 15   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 15   CH 15   Instrument 92
BA    1   CR         0   TR 15   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 15   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 15   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 15   CH 15   ST &BE &0A &50
BA    1   CR         0   TR 15   CH 15   Channel volume 71
BA    1   CR         0   TR 15   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 15   CH 15   Instrument 92
BA    1   CR         0   TR 16   CH 16   Text type 3: " "
BA    1   CR         0   TR 16   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 16   CH 16   Channel volume 103
BA    1   CR         0   TR 16   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 16   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 16   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 16   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 16   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 16   CH 16   Channel volume 103
BA    1   CR         0   TR 16   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 16   CH 16   Instrument 116
BA    1   CR         0   TR 16   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 16   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 16   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 16   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 16   CH 16   Channel volume 103
BA    1   CR         0   TR 16   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 16   CH 16   Instrument 116
BA    1   CR         0   TR 16   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 16   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 16   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 16   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 16   CH 16   Channel volume 103
BA    1   CR         0   TR 16   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 16   CH 16   Instrument 116
BA    1   CR       1/4   TR  1   CH  1   NT  G#          23/96
BA    1   CR       1/4   TR  2   CH  2   NT  F-          23/96
BA    1   CR       1/4   TR  7   CH  7   NT  D-          47/96
BA    1   CR       1/4   TR 11   CH 10   NT  F#--         5/32
BA    1   CR       1/2   TR  1   CH  1   NT  G           23/96
BA    1   CR       1/2   TR  2   CH  2   NT  F           23/96
BA    1   CR       1/2   TR 11   CH 10   NT  F#--         5/32
BA    1   CR       3/4   TR  1   CH  1   NT  F           23/96
BA    1   CR       3/4   TR  2   CH  2   NT  E-          23/96
BA    1   CR       3/4   TR  7   CH  7   NT  F-          23/96
BA    1   CR         1   TR  1   CH  1   NT  D         1+95/96
BA    1   CR         1   TR  2   CH  2   NT  E-          23/96
BA    1   CR         1   TR  7   CH  7   NT  F-          47/96
BA    1   CR         1   TR 11   CH 10   NT  E--         31/96
BA    1   CR     1+1/4   TR  2   CH  2   NT  E           23/96
BA    1   CR     1+1/4   TR 11   CH 10   NT  F#--         5/32
BA    1   CR     1+1/2   TR  2   CH  2   NT  D-          23/96
BA    1   CR     1+1/2   TR  7   CH  7   NT  G-          23/96
BA    1   CR     1+1/2   TR 11   CH 10   NT  F#--         5/32
BA    1   CR     1+3/4   TR  2   CH  2   NT  D           23/96
BA    1   CR     1+3/4   TR  7   CH  7   NT  G-          47/96
BA    1   CR         2   TR  2   CH  2   NT  C-          23/96
BA    1   CR         2   TR 11   CH 10   NT  E--         31/96
BA    1   CR     2+1/4   TR  2   CH  2   NT  D-          23/96
BA    1   CR     2+1/4   TR  7   CH  7   NT  G#-         23/96
BA    1   CR     2+1/4   TR 11   CH 10   NT  F#--         5/32
BA    1   CR     2+1/2   TR  2   CH  2   NT  D           23/96
BA    1   CR     2+1/2   TR  7   CH  7   NT  G#-         47/96
BA    1   CR     2+1/2   TR 11   CH 10   NT  F#--         5/32
BA    1   CR     2+3/4   TR  2   CH  2   NT  D-          23/96
BA    1   CR         3   TR  2   CH  2   NT  E-          23/96
BA    1   CR         3   TR  7   CH  7   NT  G-          47/96
BA    1   CR         3   TR 11   CH 10   NT  E--         31/96
BA    1   CR     3+1/4   TR  2   CH  2   NT  E           23/96
