format=1 tracks=19 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "TECHBASS #2 (MIDI)"
BA    1   CR         0   TR 13   CH 10   Channel volume 100
BA    1   CR         0   TR 13   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 13   CH 10   Instrument 1
BA    1   CR         0   TR 13   CH 10   NT  C--         47/96   von=99   voff=99
BA    1   CR         0   TR 14   CH 16   Text type 3: "RD_Snare_10 (MIDI)"
BA    1   CR         0   TR 14   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 14   CH 10   Channel volume 100
BA    1   CR         0   TR 14   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 14   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 14   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 14   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 14   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 14   CH 10   Channel volume 100
BA    1   CR         0   TR 14   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 14   CH 10   Instrument 1
BA    1   CR         0   TR 14   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 14   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 14   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 14   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 14   CH 10   Channel volume 100
BA    1   CR         0   TR 14   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 14   CH 10   Instrument 1
BA    1   CR         0   TR 14   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 14   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 14   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 14   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 14   CH 10   Channel volume 100
BA    1   CR         0   TR 14   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 14   CH 10   Instrument 1
BA    1   CR         0   TR 15   CH 16   Text type 3: "DNC_Snare_3 (MIDI)"
BA    1   CR         0   TR 15   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 15   CH 10   Channel volume 100
BA    1   CR         0   TR 15   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 15   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 15   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 15   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 15   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 15   CH 10   Channel volume 100
BA    1   CR         0   TR 15   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 15   CH 10   Instrument 1
BA    1   CR         0   TR 15   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 15   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 15   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 15   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 15   CH 10   Channel volume 100
BA    1   CR         0   TR 15   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 15   CH 10   Instrument 1
BA    1   CR         0   TR 15   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 15   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 15   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 15   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 15   CH 10   Channel volume 100
BA    1   CR         0   TR 15   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 15   CH 10   Instrument 1
BA    1   CR         0   TR 16   CH 16   Text type 3: "RD_Hat_8 (MIDI)"
BA    1   CR         0   TR 16   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 16   CH 10   Channel volume 100
BA    1   CR         0   TR 16   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 16   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 16   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 16   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 16   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 16   CH 10   Channel volume 100
BA    1   CR         0   TR 16   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 16   CH 10   Instrument 1
BA    1   CR         0   TR 16   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 16   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 16   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 16   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 16   CH 10   Channel volume 100
BA    1   CR         0   TR 16   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 16   CH 10   Instrument 1
BA    1   CR         0   TR 16   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 16   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 16   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 16   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 16   CH 10   Channel volume 100
BA    1   CR         0   TR 16   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 16   CH 10   Instrument 1
BA    1   CR         0   TR 17   CH 16   Text type 3: "RD_Hat_7 (MIDI)"
BA    1   CR         0   TR 17   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 17   CH 10   Channel volume 100
BA    1   CR         0   TR 17   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 17   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 17   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 17   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 17   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 17   CH 10   Channel volume 100
BA    1   CR         0   TR 17   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 17   CH 10   Instrument 1
BA    1   CR         0   TR 17   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 17   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 17   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 17   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 17   CH 10   Channel volume 100
BA    1   CR         0   TR 17   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 17   CH 10   Instrument 1
BA    1   CR         0   TR 17   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 17   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 17   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 17   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 17   CH 10   Channel volume 100
BA    1   CR         0   TR 17   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 17   CH 10   Instrument 1
BA    1   CR         0   TR 18   CH 16   Text type 3: "RD_Crash (MIDI)"
BA    1   CR         0   TR 18   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 18   CH 10   Channel volume 100
BA    1   CR         0   TR 18   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 18   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 18   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 18   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 18   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 18   CH 10   Channel volume 100
BA    1   CR         0   TR 18   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 18   CH 10   Instrument 1
