format=1 tracks=13 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 156
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Steel Guitar"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 99
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 99
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 81
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 99
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 81
BA    1   CR         0   TR  5   CH  5   Channel volume 99
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 99
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 81
BA    1   CR         0   TR  5   CH  5   Channel volume 99
BA    1   CR         0   TR  6   CH 16   Text type 3: "Synth Bass 1"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 122
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 122
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 34
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 122
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 34
BA    1   CR         0   TR  6   CH  6   Channel volume 122
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 122
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 34
BA    1   CR         0   TR  6   CH  6   Channel volume 122
BA    1   CR         0   TR  6   CH  6   NT  A---      2+47/96   von=100
BA    1   CR         0   TR  7   CH 16   Text type 3: "Bass & Lead"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 103
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 103
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 88
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 103
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 88
BA    1   CR         0   TR  7   CH  7   Channel volume 103
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 103
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 88
BA    1   CR         0   TR  7   CH  7   Channel volume 103
BA    1   CR         0   TR  7   CH  7   NT  A---      2+47/96   von=100
BA    1   CR         0   TR  8   CH 16   Text type 3: "Electric Kit"
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 99
BA    1   CR         0   TR  8   CH 10   ST &E9 &2A &45
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 99
BA    1   CR         0   TR  8   CH 10   ST &E9 &2A &45
BA    1   CR         0   TR  8   CH 10   Instrument 25
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 99
BA    1   CR         0   TR  8   CH 10   ST &E9 &2A &45
BA    1   CR         0   TR  8   CH 10   Instrument 25
BA    1   CR         0   TR  8   CH 10   Channel volume 99
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 99
BA    1   CR         0   TR  8   CH 10   ST &E9 &2A &45
BA    1   CR         0   TR  8   CH 10   Instrument 25
BA    1   CR         0   TR  8   CH 10   Channel volume 99
BA    1   CR         0   TR  8   CH 10   NT  C--         47/96   von=100
BA    1   CR         0   TR  8   CH 10   NT  B---        47/96
BA    1   CR         0   TR  8   CH 10   NT  F#--        47/96
BA    1   CR         0   TR  9   CH 16   Text type 3: "Trumpet (detuned)"
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &40
BA    1   CR         0   TR  9   CH 11   Channel volume 109
BA    1   CR         0   TR  9   CH 11   ST &EA &3C &3F
BA    1   CR         0   TR  9   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &40
BA    1   CR         0   TR  9   CH 11   Channel volume 109
BA    1   CR         0   TR  9   CH 11   ST &EA &3C &3F
BA    1   CR         0   TR  9   CH 11   Instrument 57
BA    1   CR         0   TR  9   CH 11   ST &BA &01 &59
BA    1   CR         0   TR  9   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &40
BA    1   CR         0   TR  9   CH 11   Channel volume 109
BA    1   CR         0   TR  9   CH 11   ST &EA &3C &3F
BA    1   CR         0   TR  9   CH 11   Instrument 57
BA    1   CR         0   TR  9   CH 11   ST &BA &01 &59
BA    1   CR         0   TR  9   CH 11   ST &EA &3C &3F
BA    1   CR         0   TR  9   CH 11   Channel volume 109
BA    1   CR         0   TR  9   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &40
BA    1   CR         0   TR  9   CH 11   Channel volume 109
BA    1   CR         0   TR  9   CH 11   ST &EA &3C &3F
BA    1   CR         0   TR  9   CH 11   Instrument 57
BA    1   CR         0   TR  9   CH 11   ST &BA &01 &59
BA    1   CR         0   TR  9   CH 11   ST &EA &3C &3F
BA    1   CR         0   TR  9   CH 11   ST &EA &3C &3F
BA    1   CR         0   TR  9   CH 11   Channel volume 109
BA    1   CR         0   TR 10   CH 16   Text type 3: "Trumpet (echo)"
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 10   CH 12   Channel volume 51
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 10   CH 12   Channel volume 51
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 57
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 10   CH 12   Channel volume 51
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 57
BA    1   CR         0   TR 10   CH 12   Channel volume 51
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 10   CH 12   Channel volume 51
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 57
BA    1   CR         0   TR 10   CH 12   Channel volume 51
BA    1   CR         0   TR 11   CH 16   Text type 3: "Square Pitch Up"
BA    1   CR         0   TR 11   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 11   CH 13   Channel volume 95
BA    1   CR         0   TR 11   CH 13   ST &EC &7E &6A
BA    1   CR         0   TR 11   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 11   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 11   CH 13   Channel volume 95
BA    1   CR         0   TR 11   CH 13   ST &EC &7E &6A
BA    1   CR         0   TR 11   CH 13   Instrument 81
BA    1   CR         0   TR 11   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 11   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 11   CH 13   Channel volume 95
BA    1   CR         0   TR 11   CH 13   ST &EC &7E &6A
BA    1   CR         0   TR 11   CH 13   Instrument 81
BA    1   CR         0   TR 11   CH 13   ST &EC &0E &30
BA    1   CR         0   TR 11   CH 13   Channel volume 0
BA    1   CR         0   TR 11   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 11   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 11   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 11   CH 13   ST &EC &0E &30
BA    1   CR         0   TR 11   CH 13   Instrument 81
BA    1   CR         0   TR 11   CH 13   ST &EC &0E &30
BA    1   CR         0   TR 11   CH 13   Channel volume 0
BA    1   CR         0   TR 11   CH 13   NT  C'       15+95/96   von=100
BA    1   CR         0   TR 12   CH 16   Text type 3: "Mega Man 10 - Farewell to Ballade - Arranged by DalekSam"
BA    1   CR         0   TR 12   CH 16   ST &BF &0A &40
BA    1   CR         0   TR 12   CH 16   Channel volume 104
BA    1   CR         0   TR 12   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 12   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 12   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 12   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 12   CH 16   ST &BF &0A &40
BA    1   CR         0   TR 12   CH 16   Channel volume 104
BA    1   CR         0   TR 12   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 12   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 12   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 12   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 12   CH 16   ST &BF &0A &40
BA    1   CR         0   TR 12   CH 16   Channel volume 104
BA    1   CR         0   TR 12   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 12   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 12   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 12   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 12   CH 16   ST &BF &0A &40
BA    1   CR         0   TR 12   CH 16   Channel volume 104
BA    1   CR         0   TR 12   CH 16   ST &EF &00 &40
BA    1   CR      1/96   TR 11   CH 13   Channel volume 0
BA    1   CR      1/48   TR 11   CH 13   ST &EC &1C &30
BA    1   CR      1/48   TR 11   CH 13   Channel volume 0
BA    1   CR      1/32   TR 11   CH 13   Channel volume 1
BA    1   CR      1/24   TR 11   CH 13   Channel volume 1
BA    1   CR      5/96   TR 11   CH 13   ST &EC &29 &30
BA    1   CR      5/96   TR 11   CH 13   Channel volume 1
BA    1   CR      1/16   TR 11   CH 13   Channel volume 1
BA    1   CR      7/96   TR 11   CH 13   ST &EC &37 &30
BA    1   CR      7/96   TR 11   CH 13   Channel volume 1
BA    1   CR      1/12   TR 11   CH 13   Channel volume 1
BA    1   CR      3/32   TR 11   CH 13   ST &EC &45 &30
BA    1   CR      3/32   TR 11   CH 13   Channel volume 1
BA    1   CR      5/48   TR 11   CH 13   Channel volume 1
BA    1   CR     11/96   TR 11   CH 13   Channel volume 1
BA    1   CR       1/8   TR 11   CH 13   ST &EC &52 &30
BA    1   CR       1/8   TR 11   CH 13   Channel volume 1
BA    1   CR     13/96   TR 11   CH 13   Channel volume 1
BA    1   CR      7/48   TR 11   CH 13   Channel volume 1
BA    1   CR      5/32   TR 11   CH 13   ST &EC &60 &30
BA    1   CR      5/32   TR 11   CH 13   Channel volume 1
BA    1   CR       1/6   TR 11   CH 13   Channel volume 1
BA    1   CR     17/96   TR 11   CH 13   ST &EC &6E &30
BA    1   CR     17/96   TR 11   CH 13   Channel volume 1
BA    1   CR      3/16   TR 11   CH 13   Channel volume 1
BA    1   CR     19/96   TR 11   CH 13   Channel volume 2
BA    1   CR      5/24   TR 11   CH 13   ST &EC &7B &30
BA    1   CR      5/24   TR 11   CH 13   Channel volume 2
BA    1   CR      7/32   TR 11   CH 13   Channel volume 2
BA    1   CR     11/48   TR 11   CH 13   ST &EC &09 &31
BA    1   CR     11/48   TR 11   CH 13   Channel volume 2
BA    1   CR     23/96   TR 11   CH 13   Channel volume 2
BA    1   CR       1/4   TR 11   CH 13   Channel volume 2
BA    1   CR     25/96   TR 11   CH 13   ST &EC &17 &31
BA    1   CR     25/96   TR 11   CH 13   Channel volume 2
BA    1   CR     13/48   TR 11   CH 13   Channel volume 2
BA    1   CR      9/32   TR 11   CH 13   ST &EC &24 &31
BA    1   CR      9/32   TR 11   CH 13   Channel volume 2
BA    1   CR      7/24   TR 11   CH 13   Channel volume 2
BA    1   CR     29/96   TR 11   CH 13   Channel volume 2
BA    1   CR      5/16   TR 11   CH 13   ST &EC &32 &31
BA    1   CR      5/16   TR 11   CH 13   Channel volume 2
BA    1   CR     31/96   TR 11   CH 13   Channel volume 2
BA    1   CR       1/3   TR 11   CH 13   Channel volume 2
BA    1   CR     11/32   TR 11   CH 13   ST &EC &40 &31
BA    1   CR     11/32   TR 11   CH 13   Channel volume 2
BA    1   CR     17/48   TR 11   CH 13   Channel volume 2
BA    1   CR     35/96   TR 11   CH 13   ST &EC &4D &31
BA    1   CR     35/96   TR 11   CH 13   Channel volume 3
BA    1   CR       3/8   TR 11   CH 13   Channel volume 3
BA    1   CR     37/96   TR 11   CH 13   Channel volume 3
BA    1   CR     19/48   TR 11   CH 13   ST &EC &5B &31
BA    1   CR     19/48   TR 11   CH 13   Channel volume 3
BA    1   CR     13/32   TR 11   CH 13   Channel volume 3
BA    1   CR      5/12   TR 11   CH 13   ST &EC &69 &31
BA    1   CR      5/12   TR 11   CH 13   Channel volume 3
BA    1   CR     41/96   TR 11   CH 13   Channel volume 3
BA    1   CR      7/16   TR 11   CH 13   Channel volume 3
BA    1   CR     43/96   TR 11   CH 13   ST &EC &76 &31
BA    1   CR     43/96   TR 11   CH 13   Channel volume 3
BA    1   CR     11/24   TR 11   CH 13   Channel volume 3
BA    1   CR     15/32   TR 11   CH 13   ST &EC &04 &32
BA    1   CR     15/32   TR 11   CH 13   Channel volume 3
BA    1   CR     23/48   TR 11   CH 13   Channel volume 3
BA    1   CR     47/96   TR 11   CH 13   Channel volume 3
BA    1   CR       1/2   TR  1   CH  1   NT  A-          47/96
BA    1   CR       1/2   TR  2   CH  2   NT  E-          47/96   von=100
BA    1   CR       1/2   TR  4   CH  4   NT  E           47/96   von=100
BA    1   CR       1/2   TR  8   CH 10   NT  Eb---       23/96
BA    1   CR       1/2   TR  8   CH 10   NT  G#--        23/96
BA    1   CR       1/2   TR  9   CH 11   NT  E           47/96   von=100
BA    1   CR       1/2   TR 11   CH 13   ST &EC &12 &32
BA    1   CR       1/2   TR 11   CH 13   Channel volume 3
BA    1   CR     49/96   TR 11   CH 13   Channel volume 3
BA    1   CR     25/48   TR 11   CH 13   ST &EC &1F &32
BA    1   CR     25/48   TR 11   CH 13   Channel volume 3
BA    1   CR     17/32   TR 11   CH 13   Channel volume 4
BA    1   CR     13/24   TR 11   CH 13   Channel volume 4
BA    1   CR     53/96   TR 11   CH 13   ST &EC &2D &32
BA    1   CR     53/96   TR 11   CH 13   Channel volume 4
BA    1   CR      9/16   TR 11   CH 13   Channel volume 4
BA    1   CR     55/96   TR 11   CH 13   Channel volume 4
BA    1   CR      7/12   TR 11   CH 13   ST &EC &3B &32
BA    1   CR      7/12   TR 11   CH 13   Channel volume 4
BA    1   CR     19/32   TR 11   CH 13   Channel volume 4
BA    1   CR     29/48   TR 11   CH 13   ST &EC &48 &32
BA    1   CR     29/48   TR 11   CH 13   Channel volume 4
BA    1   CR     59/96   TR 11   CH 13   Channel volume 4
BA    1   CR       5/8   TR 11   CH 13   Channel volume 4
BA    1   CR     61/96   TR 11   CH 13   ST &EC &56 &32
BA    1   CR     61/96   TR 11   CH 13   Channel volume 4
BA    1   CR     31/48   TR 11   CH 13   Channel volume 4
BA    1   CR     21/32   TR 11   CH 13   ST &EC &63 &32
BA    1   CR     21/32   TR 11   CH 13   Channel volume 4
BA    1   CR       2/3   TR 11   CH 13   Channel volume 4
BA    1   CR     65/96   TR 11   CH 13   Channel volume 4
BA    1   CR     11/16   TR 11   CH 13   ST &EC &71 &32
BA    1   CR     11/16   TR 11   CH 13   Channel volume 4
BA    1   CR     67/96   TR 11   CH 13   Channel volume 5
BA    1   CR     17/24   TR 11   CH 13   ST &EC &7F &32
BA    1   CR     17/24   TR 11   CH 13   Channel volume 5
BA    1   CR     23/32   TR 11   CH 13   Channel volume 5
BA    1   CR     35/48   TR 11   CH 13   Channel volume 5
BA    1   CR     71/96   TR 11   CH 13   ST &EC &0C &33
BA    1   CR     71/96   TR 11   CH 13   Channel volume 5
BA    1   CR       3/4   TR  8   CH 10   NT  Eb---       23/96
BA    1   CR       3/4   TR  8   CH 10   NT  G#--        23/96
BA    1   CR       3/4   TR 11   CH 13   Channel volume 5
BA    1   CR     73/96   TR 11   CH 13   Channel volume 5
BA    1   CR     37/48   TR 11   CH 13   ST &EC &1A &33
