format=1 tracks=8 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 62
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "trumpet"
BA    1   CR     2+1/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR     2+3/8   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR     2+1/2   TR  1   CH  1   NT  A           13/96   voff=99
BA    1   CR     2+1/2   TR  3   CH  3   NT  A-          13/96   voff=99
BA    1   CR     2+1/2   TR  3   CH  3   NT  F#-         13/96   voff=99
BA    1   CR     2+1/2   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR     2+3/4   TR  1   CH  1   NT  A           13/96   voff=99
BA    1   CR     2+3/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR         3   TR  1   CH  1   NT  G           23/96   voff=99
BA    1   CR         3   TR  2   CH  2   NT  E           23/96   voff=99
BA    1   CR         3   TR  5   CH  5   NT  A--         23/96   voff=99
BA    1   CR         3   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR     3+1/8   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR     3+1/4   TR  1   CH  1   NT  B           23/96   voff=99
BA    1   CR     3+1/4   TR  2   CH  2   NT  G           23/96   voff=99
BA    1   CR     3+3/8   TR  7   CH 10   NT  D--         11/96   voff=99
BA    1   CR     3+1/2   TR  1   CH  1   NT  A           23/96   voff=99
BA    1   CR     3+1/2   TR  2   CH  2   NT  E           23/96   voff=99
BA    1   CR     3+1/2   TR  3   CH  3   NT  F#-         13/96   voff=99
BA    1   CR     3+1/2   TR  3   CH  3   NT  A-          13/96   voff=99
BA    1   CR     3+1/2   TR  5   CH  5   NT  A--         23/96   voff=99
BA    1   CR     3+1/2   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR    3+9/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR     3+5/8   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR   3+11/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR     3+3/4   TR  1   CH  1   NT  G#          23/96   voff=99
BA    1   CR     3+3/4   TR  2   CH  2   NT  F           23/96   voff=99
BA    1   CR     3+3/4   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR   3+13/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR     3+7/8   TR  7   CH 10   NT  D--          5/96   voff=99
BA    1   CR   3+15/16   TR  7   CH 10   NT  D--          5/96   voff=99

BA    2   CR         0   TR  1   CH  1   NT  A           13/96   voff=99
BA    2   CR         0   TR  5   CH  5   NT  D--         23/96   voff=99
BA    2   CR         0   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR       1/4   TR  1   CH  1   NT  A           13/96   voff=99
BA    2   CR       1/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR       3/8   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR       1/2   TR  1   CH  1   NT  A           13/96   voff=99
BA    2   CR       1/2   TR  3   CH  3   NT  A-          13/96   voff=99
BA    2   CR       1/2   TR  3   CH  3   NT  F#-         13/96   voff=99
BA    2   CR       1/2   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR       3/4   TR  1   CH  1   NT  A           13/96   voff=99
BA    2   CR       3/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR         1   TR  1   CH  1   NT  G            5/96   voff=99
BA    2   CR         1   TR  2   CH  2   NT  C#          35/96   voff=99
BA    2   CR         1   TR  5   CH  5   NT  A--         23/96   voff=99
BA    2   CR         1   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR    1+1/16   TR  1   CH  1   NT  A            5/96   voff=99
BA    2   CR     1+1/8   TR  1   CH  1   NT  G            5/96   voff=99
BA    2   CR    1+3/16   TR  1   CH  1   NT  G           17/96   voff=99
BA    2   CR     1+1/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR     1+3/8   TR  1   CH  1   NT  E           11/96   voff=99
BA    2   CR     1+1/2   TR  1   CH  1   NT  F#        1+47/96   voff=99
BA    2   CR     1+1/2   TR  2   CH  2   NT  D         1+47/96   voff=99
BA    2   CR     1+1/2   TR  3   CH  3   NT  A-          13/96   voff=99
BA    2   CR     1+1/2   TR  3   CH  3   NT  F#-         13/96   voff=99
BA    2   CR     1+1/2   TR  7   CH 10   NT  D--          5/96   voff=99
BA    2   CR    1+9/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    2   CR     1+5/8   TR  7   CH 10   NT  D--          5/96   voff=99
BA    2   CR   1+11/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    2   CR     1+3/4   TR  7   CH 10   NT  D--          5/96   voff=99
BA    2   CR   1+13/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    2   CR     1+7/8   TR  7   CH 10   NT  D--          5/96   voff=99
BA    2   CR   1+15/16   TR  7   CH 10   NT  D--          5/96   voff=99
BA    2   CR         2   TR  5   CH  5   NT  D--         23/96   voff=99
BA    2   CR     2+1/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR   2+25/96   TR  1   CH  1   Channel volume 96
BA    2   CR   2+25/96   TR  2   CH  2   Channel volume 96
BA    2   CR   2+13/48   TR  1   CH  1   Channel volume 96
BA    2   CR   2+13/48   TR  2   CH  2   Channel volume 95
BA    2   CR    2+9/32   TR  1   CH  1   Channel volume 96
BA    2   CR    2+9/32   TR  2   CH  2   Channel volume 94
BA    2   CR    2+7/24   TR  1   CH  1   Channel volume 95
BA    2   CR    2+7/24   TR  2   CH  2   Channel volume 94
BA    2   CR   2+29/96   TR  1   CH  1   Channel volume 94
BA    2   CR   2+29/96   TR  2   CH  2   Channel volume 93
BA    2   CR    2+5/16   TR  1   CH  1   Channel volume 94
BA    2   CR    2+5/16   TR  2   CH  2   Channel volume 93
BA    2   CR   2+31/96   TR  1   CH  1   Channel volume 93
BA    2   CR   2+31/96   TR  2   CH  2   Channel volume 92
BA    2   CR     2+1/3   TR  1   CH  1   Channel volume 93
BA    2   CR     2+1/3   TR  2   CH  2   Channel volume 91
BA    2   CR   2+11/32   TR  1   CH  1   Channel volume 92
BA    2   CR   2+11/32   TR  2   CH  2   Channel volume 91
BA    2   CR   2+17/48   TR  1   CH  1   Channel volume 91
BA    2   CR   2+17/48   TR  2   CH  2   Channel volume 90
BA    2   CR   2+35/96   TR  1   CH  1   Channel volume 91
BA    2   CR   2+35/96   TR  2   CH  2   Channel volume 89
BA    2   CR     2+3/8   TR  1   CH  1   Channel volume 90
BA    2   CR     2+3/8   TR  2   CH  2   Channel volume 89
BA    2   CR     2+3/8   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR   2+37/96   TR  1   CH  1   Channel volume 89
BA    2   CR   2+37/96   TR  2   CH  2   Channel volume 88
BA    2   CR   2+19/48   TR  1   CH  1   Channel volume 89
BA    2   CR   2+19/48   TR  2   CH  2   Channel volume 88
BA    2   CR   2+13/32   TR  1   CH  1   Channel volume 88
BA    2   CR   2+13/32   TR  2   CH  2   Channel volume 87
BA    2   CR    2+5/12   TR  1   CH  1   Channel volume 87
BA    2   CR    2+5/12   TR  2   CH  2   Channel volume 86
BA    2   CR   2+41/96   TR  1   CH  1   Channel volume 87
BA    2   CR   2+41/96   TR  2   CH  2   Channel volume 86
BA    2   CR    2+7/16   TR  1   CH  1   Channel volume 86
BA    2   CR    2+7/16   TR  2   CH  2   Channel volume 85
BA    2   CR   2+43/96   TR  1   CH  1   Channel volume 85
BA    2   CR   2+43/96   TR  2   CH  2   Channel volume 85
BA    2   CR   2+11/24   TR  1   CH  1   Channel volume 85
BA    2   CR   2+11/24   TR  2   CH  2   Channel volume 84
BA    2   CR   2+15/32   TR  1   CH  1   Channel volume 84
BA    2   CR   2+15/32   TR  2   CH  2   Channel volume 83
BA    2   CR   2+23/48   TR  1   CH  1   Channel volume 84
BA    2   CR   2+23/48   TR  2   CH  2   Channel volume 83
BA    2   CR   2+47/96   TR  1   CH  1   Channel volume 83
BA    2   CR   2+47/96   TR  2   CH  2   Channel volume 82
BA    2   CR     2+1/2   TR  1   CH  1   Channel volume 82
BA    2   CR     2+1/2   TR  2   CH  2   Channel volume 81
BA    2   CR     2+1/2   TR  3   CH  3   NT  A-          13/96   voff=99
BA    2   CR     2+1/2   TR  3   CH  3   NT  F#-         13/96   voff=99
BA    2   CR     2+1/2   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR   2+49/96   TR  1   CH  1   Channel volume 82
BA    2   CR   2+49/96   TR  2   CH  2   Channel volume 81
BA    2   CR   2+25/48   TR  1   CH  1   Channel volume 81
BA    2   CR   2+25/48   TR  2   CH  2   Channel volume 80
BA    2   CR   2+17/32   TR  1   CH  1   Channel volume 80
BA    2   CR   2+17/32   TR  2   CH  2   Channel volume 80
BA    2   CR   2+13/24   TR  1   CH  1   Channel volume 80
BA    2   CR   2+13/24   TR  2   CH  2   Channel volume 79
BA    2   CR   2+53/96   TR  1   CH  1   Channel volume 79
BA    2   CR   2+53/96   TR  2   CH  2   Channel volume 78
BA    2   CR    2+9/16   TR  1   CH  1   Channel volume 78
BA    2   CR    2+9/16   TR  2   CH  2   Channel volume 78
BA    2   CR   2+55/96   TR  1   CH  1   Channel volume 78
BA    2   CR   2+55/96   TR  2   CH  2   Channel volume 77
BA    2   CR    2+7/12   TR  1   CH  1   Channel volume 77
BA    2   CR    2+7/12   TR  2   CH  2   Channel volume 76
BA    2   CR   2+19/32   TR  1   CH  1   Channel volume 76
BA    2   CR   2+19/32   TR  2   CH  2   Channel volume 76
BA    2   CR   2+29/48   TR  1   CH  1   Channel volume 76
BA    2   CR   2+29/48   TR  2   CH  2   Channel volume 75
BA    2   CR   2+59/96   TR  1   CH  1   Channel volume 75
BA    2   CR   2+59/96   TR  2   CH  2   Channel volume 75
BA    2   CR     2+5/8   TR  1   CH  1   Channel volume 75
BA    2   CR     2+5/8   TR  2   CH  2   Channel volume 74
BA    2   CR   2+61/96   TR  1   CH  1   Channel volume 74
BA    2   CR   2+61/96   TR  2   CH  2   Channel volume 73
BA    2   CR   2+31/48   TR  1   CH  1   Channel volume 73
BA    2   CR   2+31/48   TR  2   CH  2   Channel volume 73
BA    2   CR   2+21/32   TR  1   CH  1   Channel volume 73
BA    2   CR   2+21/32   TR  2   CH  2   Channel volume 72
BA    2   CR     2+2/3   TR  1   CH  1   Channel volume 72
BA    2   CR     2+2/3   TR  2   CH  2   Channel volume 71
BA    2   CR   2+65/96   TR  1   CH  1   Channel volume 71
BA    2   CR   2+65/96   TR  2   CH  2   Channel volume 71
BA    2   CR   2+11/16   TR  1   CH  1   Channel volume 71
BA    2   CR   2+11/16   TR  2   CH  2   Channel volume 70
BA    2   CR   2+67/96   TR  1   CH  1   Channel volume 70
BA    2   CR   2+67/96   TR  2   CH  2   Channel volume 70
BA    2   CR   2+17/24   TR  1   CH  1   Channel volume 69
BA    2   CR   2+17/24   TR  2   CH  2   Channel volume 69
BA    2   CR   2+23/32   TR  1   CH  1   Channel volume 69
BA    2   CR   2+23/32   TR  2   CH  2   Channel volume 68
BA    2   CR   2+35/48   TR  1   CH  1   Channel volume 68
BA    2   CR   2+35/48   TR  2   CH  2   Channel volume 68
BA    2   CR   2+71/96   TR  1   CH  1   Channel volume 67
BA    2   CR   2+71/96   TR  2   CH  2   Channel volume 67
BA    2   CR     2+3/4   TR  1   CH  1   Channel volume 67
BA    2   CR     2+3/4   TR  2   CH  2   Channel volume 66
BA    2   CR     2+3/4   TR  7   CH 10   NT  D--         11/96   voff=99
BA    2   CR   2+73/96   TR  1   CH  1   Channel volume 66
BA    2   CR   2+73/96   TR  2   CH  2   Channel volume 66
BA    2   CR   2+37/48   TR  1   CH  1   Channel volume 66
BA    2   CR   2+37/48   TR  2   CH  2   Channel volume 65
BA    2   CR   2+25/32   TR  1   CH  1   Channel volume 65
BA    2   CR   2+25/32   TR  2   CH  2   Channel volume 65
BA    2   CR   2+19/24   TR  1   CH  1   Channel volume 64
BA    2   CR   2+19/24   TR  2   CH  2   Channel volume 64
BA    2   CR   2+77/96   TR  1   CH  1   Channel volume 64
BA    2   CR   2+77/96   TR  2   CH  2   Channel volume 63
BA    2   CR   2+13/16   TR  1   CH  1   Channel volume 63
BA    2   CR   2+13/16   TR  2   CH  2   Channel volume 63
BA    2   CR   2+79/96   TR  1   CH  1   Channel volume 62
BA    2   CR   2+79/96   TR  2   CH  2   Channel volume 62
BA    2   CR     2+5/6   TR  1   CH  1   Channel volume 62
BA    2   CR     2+5/6   TR  2   CH  2   Channel volume 61
BA    2   CR   2+27/32   TR  1   CH  1   Channel volume 61
BA    2   CR   2+27/32   TR  2   CH  2   Channel volume 61
BA    2   CR   2+41/48   TR  1   CH  1   Channel volume 60
BA    2   CR   2+41/48   TR  2   CH  2   Channel volume 60
BA    2   CR   2+83/96   TR  1   CH  1   Channel volume 60
BA    2   CR   2+83/96   TR  2   CH  2   Channel volume 60
BA    2   CR     2+7/8   TR  1   CH  1   Channel volume 59
BA    2   CR     2+7/8   TR  2   CH  2   Channel volume 59
BA    2   CR   2+85/96   TR  1   CH  1   Channel volume 58
BA    2   CR   2+85/96   TR  2   CH  2   Channel volume 58
BA    2   CR   2+43/48   TR  1   CH  1   Channel volume 58
BA    2   CR   2+43/48   TR  2   CH  2   Channel volume 58
BA    2   CR   2+29/32   TR  1   CH  1   Channel volume 57
BA    2   CR   2+29/32   TR  2   CH  2   Channel volume 57
BA    2   CR   2+11/12   TR  1   CH  1   Channel volume 57
BA    2   CR   2+11/12   TR  2   CH  2   Channel volume 56
BA    2   CR   2+89/96   TR  1   CH  1   Channel volume 56
BA    2   CR   2+89/96   TR  2   CH  2   Channel volume 56
BA    2   CR   2+15/16   TR  1   CH  1   Channel volume 55
BA    2   CR   2+15/16   TR  2   CH  2   Channel volume 55
BA    2   CR   2+91/96   TR  1   CH  1   Channel volume 55
BA    2   CR   2+91/96   TR  2   CH  2   Channel volume 55
BA    2   CR   2+23/24   TR  1   CH  1   Channel volume 54
