format=1 tracks=10 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 140
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Bass & Lead"
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   Channel volume 115
BA    1   CR         0   TR  5   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  5   CH  6   Instrument 39
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   NT  G#---       23/96   von=96
BA    1   CR         0   TR  6   CH 16   Text type 3: "Sawtooth (echo)"
BA    1   CR         0   TR  6   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  6   CH  7   Channel volume 51
BA    1   CR         0   TR  6   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  6   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  6   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  6   CH  7   Channel volume 51
BA    1   CR         0   TR  6   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  6   CH  7   Instrument 82
BA    1   CR         0   TR  6   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  6   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  6   CH  7   Channel volume 51
BA    1   CR         0   TR  6   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  6   CH  7   Instrument 82
BA    1   CR         0   TR  6   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  6   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  6   CH  7   Channel volume 51
BA    1   CR         0   TR  6   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  6   CH  7   Instrument 82
BA    1   CR         0   TR  7   CH 16   Text type 3: "Synth Brass 1"
BA    1   CR         0   TR  7   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  7   CH  8   Channel volume 100
BA    1   CR         0   TR  7   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  7   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  7   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  7   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  7   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  7   CH  8   Channel volume 100
BA    1   CR         0   TR  7   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  7   CH  8   Instrument 63
BA    1   CR         0   TR  7   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  7   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  7   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  7   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  7   CH  8   Channel volume 100
BA    1   CR         0   TR  7   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  7   CH  8   Instrument 63
BA    1   CR         0   TR  7   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  7   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  7   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  7   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  7   CH  8   Channel volume 100
BA    1   CR         0   TR  7   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  7   CH  8   Instrument 63
BA    1   CR         0   TR  8   CH 16   Text type 3: "Square Wave"
BA    1   CR         0   TR  8   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  8   CH  9   Channel volume 100
BA    1   CR         0   TR  8   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  8   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  8   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  8   CH  9   Channel volume 100
BA    1   CR         0   TR  8   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  8   CH  9   Instrument 81
BA    1   CR         0   TR  8   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  8   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  8   CH  9   Channel volume 100
BA    1   CR         0   TR  8   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  8   CH  9   Instrument 81
BA    1   CR         0   TR  8   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  8   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  8   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  8   CH  9   Channel volume 100
BA    1   CR         0   TR  8   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  8   CH  9   Instrument 81
BA    1   CR         0   TR  9   CH 16   Text type 3: "Electric Kit"
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 100
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 100
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 25
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 100
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 25
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 100
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 25
BA    1   CR         0   TR  9   CH 10   NT  D--         23/96   von=32
BA    1   CR         0   TR  9   CH 10   NT  C--         23/96   von=96
BA    1   CR         0   TR  9   CH 10   NT  F#--        23/96
BA    1   CR      1/96   TR  5   CH  6   ST &B5 &0A &43
BA    1   CR      1/48   TR  5   CH  6   ST &B5 &0A &46
BA    1   CR      1/32   TR  5   CH  6   ST &B5 &0A &49
BA    1   CR      1/24   TR  5   CH  6   ST &B5 &0A &4C
BA    1   CR      5/96   TR  5   CH  6   ST &B5 &0A &4F
BA    1   CR      1/16   TR  5   CH  6   ST &B5 &0A &52
BA    1   CR      7/96   TR  5   CH  6   ST &B5 &0A &55
BA    1   CR      1/12   TR  5   CH  6   ST &B5 &0A &57
BA    1   CR      3/32   TR  5   CH  6   ST &B5 &0A &5A
BA    1   CR      5/48   TR  5   CH  6   ST &B5 &0A &5D
BA    1   CR     11/96   TR  5   CH  6   ST &B5 &0A &60
BA    1   CR       1/8   TR  5   CH  6   ST &B5 &0A &62
BA    1   CR     13/96   TR  5   CH  6   ST &B5 &0A &65
BA    1   CR      7/48   TR  5   CH  6   ST &B5 &0A &67
BA    1   CR      5/32   TR  5   CH  6   ST &B5 &0A &6A
BA    1   CR       1/6   TR  5   CH  6   ST &B5 &0A &6C
BA    1   CR     17/96   TR  5   CH  6   ST &B5 &0A &6E
BA    1   CR      3/16   TR  5   CH  6   ST &B5 &0A &70
BA    1   CR     19/96   TR  5   CH  6   ST &B5 &0A &72
BA    1   CR      5/24   TR  5   CH  6   ST &B5 &0A &74
BA    1   CR      7/32   TR  5   CH  6   ST &B5 &0A &76
BA    1   CR     11/48   TR  5   CH  6   ST &B5 &0A &77
BA    1   CR     23/96   TR  5   CH  6   ST &B5 &0A &79
BA    1   CR       1/4   TR  1   CH  1   NT  G#---       23/96   von=48
BA    1   CR       1/4   TR  2   CH  2   NT  G#--        23/96   von=48
BA    1   CR       1/4   TR  2   CH  2   NT  D'          23/96   von=49
BA    1   CR       1/4   TR  5   CH  6   ST &B5 &0A &7A
BA    1   CR       1/4   TR  5   CH  6   NT  G#---       23/96   von=48
BA    1   CR       1/4   TR  6   CH  7   NT  C#'         23/96   von=48
BA    1   CR       1/4   TR  6   CH  7   NT  G#--        23/96   von=96
BA    1   CR       1/4   TR  9   CH 10   NT  D--         23/96   von=32
BA    1   CR       1/4   TR  9   CH 10   NT  G#--        23/96   von=96
BA    1   CR     25/96   TR  5   CH  6   ST &B5 &0A &7B
BA    1   CR     13/48   TR  5   CH  6   ST &B5 &0A &7C
BA    1   CR      9/32   TR  5   CH  6   ST &B5 &0A &7D
BA    1   CR      7/24   TR  5   CH  6   ST &B5 &0A &7E
BA    1   CR     29/96   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR      5/16   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR     31/96   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR       3/8   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR     37/96   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR     19/48   TR  5   CH  6   ST &B5 &0A &7E
BA    1   CR     13/32   TR  5   CH  6   ST &B5 &0A &7D
BA    1   CR      5/12   TR  5   CH  6   ST &B5 &0A &7C
BA    1   CR     41/96   TR  5   CH  6   ST &B5 &0A &7B
BA    1   CR      7/16   TR  5   CH  6   ST &B5 &0A &7A
BA    1   CR     43/96   TR  5   CH  6   ST &B5 &0A &79
BA    1   CR     11/24   TR  5   CH  6   ST &B5 &0A &77
BA    1   CR     15/32   TR  5   CH  6   ST &B5 &0A &76
BA    1   CR     23/48   TR  5   CH  6   ST &B5 &0A &74
BA    1   CR     47/96   TR  5   CH  6   ST &B5 &0A &72
BA    1   CR       1/2   TR  1   CH  1   NT  G#---       23/96   von=96
BA    1   CR       1/2   TR  2   CH  2   NT  Eb'         23/96   von=50
BA    1   CR       1/2   TR  2   CH  2   NT  G#--        23/96   von=96
BA    1   CR       1/2   TR  5   CH  6   ST &B5 &0A &70
BA    1   CR       1/2   TR  5   CH  6   NT  G#---       23/96   von=96
BA    1   CR       1/2   TR  6   CH  7   NT  G#--        23/96   von=48
BA    1   CR       1/2   TR  6   CH  7   NT  D'          23/96   von=49
BA    1   CR       1/2   TR  9   CH 10   NT  D--         23/96   von=32
BA    1   CR       1/2   TR  9   CH 10   NT  G#--        23/96   von=96
BA    1   CR     49/96   TR  5   CH  6   ST &B5 &0A &6E
BA    1   CR     25/48   TR  5   CH  6   ST &B5 &0A &6C
BA    1   CR     17/32   TR  5   CH  6   ST &B5 &0A &6A
BA    1   CR     13/24   TR  5   CH  6   ST &B5 &0A &67
BA    1   CR     53/96   TR  5   CH  6   ST &B5 &0A &65
BA    1   CR      9/16   TR  5   CH  6   ST &B5 &0A &62
BA    1   CR     55/96   TR  5   CH  6   ST &B5 &0A &60
BA    1   CR      7/12   TR  5   CH  6   ST &B5 &0A &5D
BA    1   CR     19/32   TR  5   CH  6   ST &B5 &0A &5A
BA    1   CR     29/48   TR  5   CH  6   ST &B5 &0A &57
BA    1   CR     59/96   TR  5   CH  6   ST &B5 &0A &55
BA    1   CR       5/8   TR  5   CH  6   ST &B5 &0A &52
BA    1   CR     61/96   TR  5   CH  6   ST &B5 &0A &4F
BA    1   CR     31/48   TR  5   CH  6   ST &B5 &0A &4C
BA    1   CR     21/32   TR  5   CH  6   ST &B5 &0A &49
BA    1   CR       2/3   TR  5   CH  6   ST &B5 &0A &46
BA    1   CR     65/96   TR  5   CH  6   ST &B5 &0A &43
BA    1   CR     11/16   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR     67/96   TR  5   CH  6   ST &B5 &0A &3D
BA    1   CR     17/24   TR  5   CH  6   ST &B5 &0A &3A
BA    1   CR     23/32   TR  5   CH  6   ST &B5 &0A &37
BA    1   CR     35/48   TR  5   CH  6   ST &B5 &0A &34
BA    1   CR     71/96   TR  5   CH  6   ST &B5 &0A &31
BA    1   CR       3/4   TR  1   CH  1   NT  G#---       23/96   von=48
BA    1   CR       3/4   TR  2   CH  2   NT  E'          23/96   von=51
BA    1   CR       3/4   TR  2   CH  2   NT  G#--        23/96   von=48
BA    1   CR       3/4   TR  5   CH  6   ST &B5 &0A &2E
BA    1   CR       3/4   TR  5   CH  6   NT  G#---       23/96   von=48
BA    1   CR       3/4   TR  6   CH  7   NT  Eb'         23/96   von=50
BA    1   CR       3/4   TR  6   CH  7   NT  G#--        23/96   von=96
BA    1   CR       3/4   TR  9   CH 10   NT  G#--        23/96
BA    1   CR       3/4   TR  9   CH 10   NT  D--         23/96   von=32
BA    1   CR     73/96   TR  5   CH  6   ST &B5 &0A &2B
BA    1   CR     37/48   TR  5   CH  6   ST &B5 &0A &29
BA    1   CR     25/32   TR  5   CH  6   ST &B5 &0A &26
BA    1   CR     19/24   TR  5   CH  6   ST &B5 &0A &23
BA    1   CR     77/96   TR  5   CH  6   ST &B5 &0A &20
BA    1   CR     13/16   TR  5   CH  6   ST &B5 &0A &1E
BA    1   CR     79/96   TR  5   CH  6   ST &B5 &0A &1B
BA    1   CR       5/6   TR  5   CH  6   ST &B5 &0A &19
BA    1   CR     27/32   TR  5   CH  6   ST &B5 &0A &16
BA    1   CR     41/48   TR  5   CH  6   ST &B5 &0A &14
BA    1   CR     83/96   TR  5   CH  6   ST &B5 &0A &12
BA    1   CR       7/8   TR  5   CH  6   ST &B5 &0A &10
BA    1   CR     85/96   TR  5   CH  6   ST &B5 &0A &0E
BA    1   CR     43/48   TR  5   CH  6   ST &B5 &0A &0C
BA    1   CR     29/32   TR  5   CH  6   ST &B5 &0A &0A
BA    1   CR     11/12   TR  5   CH  6   ST &B5 &0A &09
BA    1   CR     89/96   TR  5   CH  6   ST &B5 &0A &07
BA    1   CR     15/16   TR  5   CH  6   ST &B5 &0A &06
BA    1   CR     91/96   TR  5   CH  6   ST &B5 &0A &05
BA    1   CR     23/24   TR  5   CH  6   ST &B5 &0A &04
BA    1   CR     31/32   TR  5   CH  6   ST &B5 &0A &03
BA    1   CR     47/48   TR  5   CH  6   ST &B5 &0A &02
BA    1   CR     95/96   TR  5   CH  6   ST &B5 &0A &01
BA    1   CR         1   TR  1   CH  1   NT  G#---       23/96   von=96
BA    1   CR         1   TR  2   CH  2   NT  G#--        23/96   von=96
BA    1   CR         1   TR  2   CH  2   NT  C#'         23/96   von=52
BA    1   CR         1   TR  5   CH  6   ST &B5 &0A &01
BA    1   CR         1   TR  5   CH  6   NT  G#---       23/96   von=96
BA    1   CR         1   TR  6   CH  7   NT  E'          23/96   von=51
BA    1   CR         1   TR  6   CH  7   NT  G#--        23/96   von=48
BA    1   CR         1   TR  9   CH 10   NT  F#--        23/96   von=96
BA    1   CR         1   TR  9   CH 10   NT  D--         23/96   von=32
BA    1   CR         1   TR  9   CH 10   NT  C--         23/96   von=96
BA    1   CR    1+1/96   TR  5   CH  6   ST &B5 &0A &00
BA    1   CR    1+1/16   TR  5   CH  6   ST &B5 &0A &01
BA    1   CR    1+7/96   TR  5   CH  6   ST &B5 &0A &01
BA    1   CR    1+1/12   TR  5   CH  6   ST &B5 &0A &02
BA    1   CR    1+3/32   TR  5   CH  6   ST &B5 &0A &03
BA    1   CR    1+5/48   TR  5   CH  6   ST &B5 &0A &04
BA    1   CR   1+11/96   TR  5   CH  6   ST &B5 &0A &05
BA    1   CR     1+1/8   TR  5   CH  6   ST &B5 &0A &06
BA    1   CR   1+13/96   TR  5   CH  6   ST &B5 &0A &07
BA    1   CR    1+7/48   TR  5   CH  6   ST &B5 &0A &09
BA    1   CR    1+5/32   TR  5   CH  6   ST &B5 &0A &0A
BA    1   CR     1+1/6   TR  5   CH  6   ST &B5 &0A &0C
BA    1   CR   1+17/96   TR  5   CH  6   ST &B5 &0A &0E
BA    1   CR    1+3/16   TR  5   CH  6   ST &B5 &0A &10
BA    1   CR   1+19/96   TR  5   CH  6   ST &B5 &0A &12
BA    1   CR    1+5/24   TR  5   CH  6   ST &B5 &0A &14
BA    1   CR    1+7/32   TR  5   CH  6   ST &B5 &0A &16
BA    1   CR   1+11/48   TR  5   CH  6   ST &B5 &0A &19
BA    1   CR   1+23/96   TR  5   CH  6   ST &B5 &0A &1B
BA    1   CR     1+1/4   TR  1   CH  1   NT  G#---       23/96   von=48
BA    1   CR     1+1/4   TR  2   CH  2   NT  D'          23/96   von=53
BA    1   CR     1+1/4   TR  2   CH  2   NT  G#--        23/96   von=48
BA    1   CR     1+1/4   TR  5   CH  6   ST &B5 &0A &1E
BA    1   CR     1+1/4   TR  5   CH  6   NT  G#---       23/96   von=48
BA    1   CR     1+1/4   TR  6   CH  7   NT  G#--        23/96   von=96
BA    1   CR     1+1/4   TR  6   CH  7   NT  C#'         23/96   von=52
BA    1   CR     1+1/4   TR  9   CH 10   NT  G#--        23/96
BA    1   CR     1+1/4   TR  9   CH 10   NT  D--         23/96   von=32
BA    1   CR   1+25/96   TR  5   CH  6   ST &B5 &0A &20
BA    1   CR   1+13/48   TR  5   CH  6   ST &B5 &0A &23
BA    1   CR    1+9/32   TR  5   CH  6   ST &B5 &0A &26
BA    1   CR    1+7/24   TR  5   CH  6   ST &B5 &0A &29
BA    1   CR   1+29/96   TR  5   CH  6   ST &B5 &0A &2B
BA    1   CR    1+5/16   TR  5   CH  6   ST &B5 &0A &2E
BA    1   CR   1+31/96   TR  5   CH  6   ST &B5 &0A &31
BA    1   CR     1+1/3   TR  5   CH  6   ST &B5 &0A &34
BA    1   CR   1+11/32   TR  5   CH  6   ST &B5 &0A &37
BA    1   CR   1+17/48   TR  5   CH  6   ST &B5 &0A &3A
BA    1   CR   1+35/96   TR  5   CH  6   ST &B5 &0A &3D
BA    1   CR     1+3/8   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR   1+37/96   TR  5   CH  6   ST &B5 &0A &43
BA    1   CR   1+19/48   TR  5   CH  6   ST &B5 &0A &46
BA    1   CR   1+13/32   TR  5   CH  6   ST &B5 &0A &49
BA    1   CR    1+5/12   TR  5   CH  6   ST &B5 &0A &4C
BA    1   CR   1+41/96   TR  5   CH  6   ST &B5 &0A &4F
BA    1   CR    1+7/16   TR  5   CH  6   ST &B5 &0A &52
BA    1   CR   1+43/96   TR  5   CH  6   ST &B5 &0A &55
BA    1   CR   1+11/24   TR  5   CH  6   ST &B5 &0A &57
BA    1   CR   1+15/32   TR  5   CH  6   ST &B5 &0A &5A
BA    1   CR   1+23/48   TR  5   CH  6   ST &B5 &0A &5D
BA    1   CR   1+47/96   TR  5   CH  6   ST &B5 &0A &60
BA    1   CR     1+1/2   TR  1   CH  1   NT  G#---       23/96   von=96
BA    1   CR     1+1/2   TR  2   CH  2   NT  G#--        23/96   von=96
BA    1   CR     1+1/2   TR  2   CH  2   NT  Eb'         23/96   von=54
