format=1 tracks=13 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 119
BA    1   CR         0   TR  1   CH 16   Text type 3: "MIDI out"
BA    1   CR         0   TR  3   CH 16   Text type 3: "MIDI out #3"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &00
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 3
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 3
BA    1   CR         0   TR  3   CH  3   Instrument 3
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 3
BA    1   CR         0   TR  3   CH  3   Instrument 3
BA    1   CR         0   TR  4   CH 16   Text type 3: "MIDI out #4"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 61
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 61
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 61
BA    1   CR         0   TR  5   CH 16   Text type 3: "MIDI out #5"
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR         0   TR  5   CH  6   Channel volume 95
BA    1   CR         0   TR  5   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR         0   TR  5   CH  6   Channel volume 95
BA    1   CR         0   TR  5   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  5   CH  6   Instrument 10
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR         0   TR  5   CH  6   Channel volume 95
BA    1   CR         0   TR  5   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  5   CH  6   Instrument 10
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &7F
BA    1   CR         0   TR  5   CH  6   Channel volume 95
BA    1   CR         0   TR  5   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  5   CH  6   Instrument 10
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI out #8"
BA    1   CR         0   TR  6   CH  9   ST &B8 &0A &7F
BA    1   CR         0   TR  6   CH  9   Channel volume 127
BA    1   CR         0   TR  6   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  6   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  6   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  6   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  6   CH  9   ST &B8 &0A &7F
BA    1   CR         0   TR  6   CH  9   Channel volume 127
BA    1   CR         0   TR  6   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  6   CH  9   Instrument 15
BA    1   CR         0   TR  6   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  6   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  6   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  6   CH  9   ST &B8 &0A &7F
BA    1   CR         0   TR  6   CH  9   Channel volume 127
BA    1   CR         0   TR  6   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  6   CH  9   Instrument 15
BA    1   CR         0   TR  6   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  6   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  6   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  6   CH  9   ST &B8 &0A &7F
BA    1   CR         0   TR  6   CH  9   Channel volume 127
BA    1   CR         0   TR  6   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  6   CH  9   Instrument 15
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI out #9"
BA    1   CR         0   TR  7   CH 11   ST &BA &0A &10
BA    1   CR         0   TR  7   CH 11   Channel volume 108
BA    1   CR         0   TR  7   CH 11   ST &EA &00 &40
BA    1   CR         0   TR  7   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  7   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  7   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  7   CH 11   ST &BA &0A &10
BA    1   CR         0   TR  7   CH 11   Channel volume 108
BA    1   CR         0   TR  7   CH 11   ST &EA &00 &40
BA    1   CR         0   TR  7   CH 11   Instrument 49
BA    1   CR         0   TR  7   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  7   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  7   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  7   CH 11   ST &BA &0A &10
BA    1   CR         0   TR  7   CH 11   Channel volume 108
BA    1   CR         0   TR  7   CH 11   ST &EA &00 &40
BA    1   CR         0   TR  7   CH 11   Instrument 49
BA    1   CR         0   TR  7   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  7   CH 11   ST &BA &64 &00
BA    1   CR         0   TR  7   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR  7   CH 11   ST &BA &0A &10
BA    1   CR         0   TR  7   CH 11   Channel volume 108
BA    1   CR         0   TR  7   CH 11   ST &EA &00 &40
BA    1   CR         0   TR  7   CH 11   Instrument 49
BA    1   CR         0   TR  8   CH 16   Text type 3: "MIDI out #7"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &1F
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &1F
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 57
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &1F
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 57
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &1F
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 57
BA    1   CR         0   TR  9   CH 16   Text type 3: "MIDI out #6"
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 122
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 122
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 49
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 122
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 49
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 122
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 49
BA    1   CR         0   TR 10   CH 16   Text type 3: "Reed Organ"
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &60
BA    1   CR         0   TR 10   CH 12   Channel volume 127
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &60
BA    1   CR         0   TR 10   CH 12   Channel volume 127
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 70
BA    1   CR         0   TR 10   CH 12   ST &BB &5B &42
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &60
BA    1   CR         0   TR 10   CH 12   Channel volume 127
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 70
BA    1   CR         0   TR 10   CH 12   ST &BB &5B &42
BA    1   CR         0   TR 10   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 10   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 10   CH 12   ST &BB &0A &60
BA    1   CR         0   TR 10   CH 12   Channel volume 127
BA    1   CR         0   TR 10   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 10   CH 12   Instrument 70
BA    1   CR         0   TR 10   CH 12   ST &BB &5B &42
BA    1   CR         0   TR 11   CH 16   Text type 3: "Electric Bass Picked"
BA    1   CR         0   TR 11   CH 15   ST &BE &0A &44
BA    1   CR         0   TR 11   CH 15   Channel volume 112
BA    1   CR         0   TR 11   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 11   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 11   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 11   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 11   CH 15   ST &BE &0A &44
BA    1   CR         0   TR 11   CH 15   Channel volume 112
BA    1   CR         0   TR 11   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 11   CH 15   Instrument 59
BA    1   CR         0   TR 11   CH 15   ST &BE &02 &7F
BA    1   CR         0   TR 11   CH 15   ST &BE &5B &35
BA    1   CR         0   TR 11   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 11   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 11   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 11   CH 15   ST &BE &0A &44
BA    1   CR         0   TR 11   CH 15   Channel volume 112
BA    1   CR         0   TR 11   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 11   CH 15   Instrument 59
BA    1   CR         0   TR 11   CH 15   ST &BE &02 &7F
BA    1   CR         0   TR 11   CH 15   ST &BE &5B &35
BA    1   CR         0   TR 11   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 11   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 11   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 11   CH 15   ST &BE &0A &44
BA    1   CR         0   TR 11   CH 15   Channel volume 112
BA    1   CR         0   TR 11   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 11   CH 15   Instrument 59
BA    1   CR         0   TR 11   CH 15   ST &BE &02 &7F
BA    1   CR         0   TR 11   CH 15   ST &BE &5B &35
BA    1   CR         0   TR 12   CH 16   Text type 3: "MIDI out #10"
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 12   CH 14   Channel volume 127
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 12   CH 14   Channel volume 127
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 62
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 12   CH 14   Channel volume 127
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 62
BA    1   CR         0   TR 12   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 12   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 12   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 12   CH 14   Channel volume 127
BA    1   CR         0   TR 12   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 12   CH 14   Instrument 62
BA    1   CR     3+1/2   TR  1   CH  1   NT  B'          11/48   von=68   voff=0
BA    1   CR     3+1/2   TR  2   CH  2   NT  B'          11/48   von=68   voff=0
BA    1   CR     3+1/2   TR  2   CH  2   NT  B           11/48   voff=0
BA    1   CR     3+1/2   TR  3   CH  3   NT  B           11/48   von=83   voff=0
BA    1   CR     3+1/2   TR  3   CH  3   NT  Eb          11/48   voff=0
BA    1   CR     3+3/4   TR  1   CH  1   NT  C#''        11/48   voff=0
BA    1   CR     3+3/4   TR  2   CH  2   NT  C#''        11/48   voff=0
BA    1   CR     3+3/4   TR  2   CH  2   NT  C#'         11/48   voff=0
BA    1   CR     3+3/4   TR  3   CH  3   NT  C#'         11/48   voff=0
BA    1   CR     3+3/4   TR  3   CH  3   NT  E           11/48   voff=0

BA    2   CR         0   TR  1   CH  1   NT  E''         23/48   voff=0
BA    2   CR         0   TR  2   CH  2   NT  B           35/48   voff=0
BA    2   CR         0   TR  2   CH  2   NT  G#'         35/48   voff=0
BA    2   CR         0   TR  2   CH  2   NT  E''         35/48   voff=0
BA    2   CR         0   TR  3   CH  3   NT  B''         35/48   voff=0
BA    2   CR         0   TR  3   CH  3   NT  B'          35/48   voff=0
BA    2   CR         0   TR  3   CH  3   NT  E'          35/48   voff=0
BA    2   CR         0   TR  3   CH  3   NT  G#          35/48   voff=0
BA    2   CR       1/2   TR  1   CH  1   NT  F#''         5/48   voff=0
BA    2   CR       5/8   TR  1   CH  1   NT  E''          5/48   voff=0
BA    2   CR       3/4   TR  1   CH  1   NT  Eb''        35/48   voff=0
BA    2   CR       3/4   TR  2   CH  2   NT  B           35/48   voff=0
BA    2   CR       3/4   TR  2   CH  2   NT  Eb''        35/48   voff=0
BA    2   CR       3/4   TR  2   CH  2   NT  F#'         35/48   voff=0
BA    2   CR       3/4   TR  3   CH  3   NT  B''         35/48   voff=0
BA    2   CR       3/4   TR  3   CH  3   NT  B'          35/48   voff=0
BA    2   CR       3/4   TR  3   CH  3   NT  Eb'         35/48   voff=0
BA    2   CR       3/4   TR  3   CH  3   NT  F#          35/48   voff=0
BA    2   CR     1+1/2   TR  1   CH  1   NT  C#''        23/48   voff=0
BA    2   CR     1+1/2   TR  2   CH  2   NT  G#          23/48   voff=0
BA    2   CR     1+1/2   TR  2   CH  2   NT  C#''        23/48   voff=0
BA    2   CR     1+1/2   TR  2   CH  2   NT  E'          23/48   voff=0
BA    2   CR     1+1/2   TR  3   CH  3   NT  G#''        23/48   voff=0
BA    2   CR     1+1/2   TR  3   CH  3   NT  G#'         23/48   voff=0
BA    2   CR     1+1/2   TR  3   CH  3   NT  C#'         23/48   voff=0
BA    2   CR     1+1/2   TR  3   CH  3   NT  E           23/48   voff=0
BA    2   CR         2   TR  1   CH  1   NT  B'          29/48   voff=0
BA    2   CR         2   TR  2   CH  2   NT  F#          47/48   voff=0
BA    2   CR         2   TR  2   CH  2   NT  B'          47/48   voff=0
BA    2   CR         2   TR  2   CH  2   NT  Eb'         47/48   voff=0
BA    2   CR         2   TR  3   CH  3   NT  Eb          47/48   voff=0
BA    2   CR         2   TR  3   CH  3   NT  B           47/48   voff=0
BA    2   CR         2   TR  3   CH  3   NT  F#'         47/48   voff=0
BA    2   CR         2   TR  3   CH  3   NT  F#''        47/48   voff=0
BA    2   CR     2+5/8   TR  1   CH  1   NT  C#''         5/48   voff=0
BA    2   CR     2+3/4   TR  1   CH  1   NT  Eb''         5/48   voff=0
BA    2   CR     2+7/8   TR  1   CH  1   NT  E''          5/48   voff=0
BA    2   CR         3   TR  1   CH  1   NT  F#''      8+47/48   voff=0
BA    2   CR         3   TR  2   CH  2   NT  F#        7+79/96   voff=0
BA    2   CR         3   TR  2   CH  2   NT  F#''      8+47/48   voff=0
BA    2   CR         3   TR  2   CH  2   NT  B'        8+47/48   voff=0
BA    2   CR         3   TR  3   CH  3   NT  B         8+47/48   voff=0
BA    2   CR         3   TR  3   CH  3   NT  F#'       8+47/48   voff=0

BA    4   CR         2   TR  2   CH  2   Instrument 3
BA    4   CR         2   TR  3   CH  3   Instrument 3
BA    4   CR         2   TR  7   CH 11   NT  F#        1+95/96   von=98   voff=0
BA    4   CR         2   TR  7   CH 11   NT  B-        1+95/96   voff=0
BA    4   CR         2   TR  7   CH 11   NT  F#-       1+95/96   voff=0
BA    4   CR         2   TR  7   CH 11   NT  B--       3+95/96   voff=0
BA    4   CR         2   TR  9   CH 10   NT  A-           1/24   von=88   voff=0
BA    4   CR         2   TR  9   CH 10   NT  C--          1/24   von=100   voff=0
BA    4   CR         2   TR  9   CH 10   NT  D--          1/16   von=90   voff=0
BA    4   CR         2   TR 11   CH 15   NT  B---      3+95/96   von=127   voff=0
BA    4   CR     2+1/2   TR  1   CH  1   NT  B'           5/32   von=98   voff=0
BA    4   CR     2+1/2   TR  2   CH  2   NT  B            5/32   von=98   voff=0
BA    4   CR     2+1/2   TR  3   CH  3   NT  F#           5/32   von=98   voff=0
BA    4   CR     2+1/2   TR  4   CH  4   NT  B-           5/32   von=98   voff=0
BA    4   CR     2+1/2   TR  4   CH  4   NT  F#-          5/32   voff=0
BA    4   CR     2+1/2   TR  5   CH  6   NT  B            5/32   von=98   voff=0
BA    4   CR     2+1/2   TR  8   CH  8   NT  F#           5/32   von=108   voff=0
BA    4   CR     2+1/2   TR  8   CH  8   NT  B            5/32   voff=0
BA    4   CR     2+1/2   TR  9   CH 10   NT  D--          1/16   von=67   voff=0
BA    4   CR     2+1/2   TR 12   CH 14   NT  B            5/32   von=74   voff=0
BA    4   CR     2+1/2   TR 12   CH 14   NT  F#           5/32   voff=0
BA    4   CR     2+2/3   TR  1   CH  1   NT  F#'          5/32   voff=0
BA    4   CR     2+2/3   TR  2   CH  2   NT  F#           5/32   voff=0
BA    4   CR     2+2/3   TR  3   CH  3   NT  B-           5/32   voff=0
BA    4   CR     2+2/3   TR  4   CH  4   NT  F#-          5/32   voff=0
BA    4   CR     2+2/3   TR  4   CH  4   NT  B--          5/32   voff=0
BA    4   CR     2+2/3   TR  5   CH  6   NT  F#           5/32   voff=0
BA    4   CR     2+2/3   TR  8   CH  8   NT  B-           5/32   voff=0
BA    4   CR     2+2/3   TR  8   CH  8   NT  F#           5/32   voff=0
BA    4   CR     2+2/3   TR  9   CH 10   NT  D--          1/16   voff=0
BA    4   CR     2+2/3   TR 12   CH 14   NT  F#           5/32   voff=0
BA    4   CR     2+2/3   TR 12   CH 14   NT  B-           5/32   voff=0
BA    4   CR     2+5/6   TR  1   CH  1   NT  B'           5/32   voff=0
BA    4   CR     2+5/6   TR  2   CH  2   NT  B            5/32   voff=0
BA    4   CR     2+5/6   TR  3   CH  3   NT  F#           5/32   voff=0
BA    4   CR     2+5/6   TR  4   CH  4   NT  B-           5/32   voff=0
BA    4   CR     2+5/6   TR  4   CH  4   NT  F#-          5/32   voff=0
BA    4   CR     2+5/6   TR  5   CH  6   NT  B            5/32   voff=0
BA    4   CR     2+5/6   TR  8   CH  8   NT  F#           5/32   voff=0
BA    4   CR     2+5/6   TR  8   CH  8   NT  B            5/32   voff=0
BA    4   CR     2+5/6   TR  9   CH 10   NT  D--          1/16   voff=0
BA    4   CR     2+5/6   TR 12   CH 14   NT  B            5/32   voff=0
BA    4   CR     2+5/6   TR 12   CH 14   NT  F#           5/32   voff=0
BA    4   CR         3   TR  1   CH  1   NT  F#''        47/48   voff=0
BA    4   CR         3   TR  2   CH  2   NT  F#'         95/96   voff=0
BA    4   CR         3   TR  3   CH  3   NT  B           47/48   voff=0
BA    4   CR         3   TR  4   CH  4   NT  F#          95/96   voff=0
BA    4   CR         3   TR  4   CH  4   NT  B-          95/96   voff=0
BA    4   CR         3   TR  5   CH  6   NT  F#'         95/96   voff=0
BA    4   CR         3   TR  8   CH  8   NT  B           95/96   voff=0
BA    4   CR         3   TR  8   CH  8   NT  F#'         95/96   voff=0
BA    4   CR         3   TR  9   CH 10   NT  C--          1/16   von=100   voff=0
BA    4   CR         3   TR  9   CH 10   NT  D--          1/16   von=91   voff=0
BA    4   CR         3   TR 12   CH 14   NT  F#'         95/96   voff=0
BA    4   CR         3   TR 12   CH 14   NT  B           95/96   voff=0
BA    4   CR     3+1/2   TR  9   CH 10   NT  D--          1/16   von=67   voff=0
