format=1 tracks=15 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 108
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Rockman 10 - "Under Normal Circumstance" v1.3"
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &50
BA    1   CR         0   TR  2   CH  2   Channel volume 1
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 62
BA    1   CR         0   TR  2   CH  2   Channel volume 1
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &50
BA    1   CR         0   TR  2   CH  2   Channel volume 1
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 62
BA    1   CR         0   TR  2   CH  2   Channel volume 1
BA    1   CR         0   TR  2   CH  2   NT  F#--      7+95/96   von=100
BA    1   CR         0   TR  3   CH 16   Text type 3: "and the other Rockman 10 Musicians"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &33
BA    1   CR         0   TR  3   CH  3   Channel volume 95
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &33
BA    1   CR         0   TR  3   CH  3   Channel volume 95
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 49
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &33
BA    1   CR         0   TR  3   CH  3   Channel volume 95
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 49
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &33
BA    1   CR         0   TR  3   CH  3   Channel volume 95
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 49
BA    1   CR         0   TR  4   CH 16   Text type 3: "This MIDI by Joseph Collins"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &4D
BA    1   CR         0   TR  4   CH  4   Channel volume 83
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &4D
BA    1   CR         0   TR  4   CH  4   Channel volume 83
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 49
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &4D
BA    1   CR         0   TR  4   CH  4   Channel volume 83
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 49
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &4D
BA    1   CR         0   TR  4   CH  4   Channel volume 83
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 49
BA    1   CR         0   TR  5   CH 16   Text type 3: ""I cannot tell you how much I love the original version"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &34
BA    1   CR         0   TR  5   CH  5   Channel volume 63
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &34
BA    1   CR         0   TR  5   CH  5   Channel volume 63
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 8
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &34
BA    1   CR         0   TR  5   CH  5   Channel volume 63
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 8
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &34
BA    1   CR         0   TR  5   CH  5   Channel volume 63
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 8
BA    1   CR         0   TR  5   CH  5   NT  B           23/96   von=100
BA    1   CR         0   TR  6   CH 16   Text type 3: "of this tune.  But much like with Metalman's tune (Famicom version),"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &4C
BA    1   CR         0   TR  6   CH  6   Channel volume 51
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &4C
BA    1   CR         0   TR  6   CH  6   Channel volume 51
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 8
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &4C
BA    1   CR         0   TR  6   CH  6   Channel volume 51
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 8
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &4C
BA    1   CR         0   TR  6   CH  6   Channel volume 51
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 8
BA    1   CR         0   TR  7   CH 16   Text type 3: "I couldn't capture the original essence of the tune.  Sooooo...I just"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &50
BA    1   CR         0   TR  7   CH  7   Channel volume 77
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &50
BA    1   CR         0   TR  7   CH  7   Channel volume 77
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 53
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &50
BA    1   CR         0   TR  7   CH  7   Channel volume 77
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 53
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &50
BA    1   CR         0   TR  7   CH  7   Channel volume 77
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 53
BA    1   CR         0   TR  7   CH  7   NT  B-          47/96   von=100
BA    1   CR         0   TR  8   CH 16   Text type 3: "went my own way with it, more or less. After fiddling with it for"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  8   CH  8   Channel volume 58
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  8   CH  8   Channel volume 58
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 53
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  8   CH  8   Channel volume 58
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 53
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  8   CH  8   Channel volume 58
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 53
BA    1   CR         0   TR  9   CH 16   Text type 3: "a while and getting a little feedback, I decided it was good"
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &30
BA    1   CR         0   TR  9   CH  9   Channel volume 64
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &30
BA    1   CR         0   TR  9   CH  9   Channel volume 64
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 116
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &30
BA    1   CR         0   TR  9   CH  9   Channel volume 64
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 116
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &30
BA    1   CR         0   TR  9   CH  9   Channel volume 64
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 116
BA    1   CR         0   TR  9   CH  9   NT  B-          11/96   von=100
BA    1   CR         0   TR 10   CH 16   Text type 3: "enough to submit.  Hopefully, I'm right.""
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 83
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 83
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 83
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 83
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   NT  E-          23/96   von=102
BA    1   CR         0   TR 11   CH 16   Text type 3: "----------------------------------------"
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 11   CH 11   Channel volume 76
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 11   CH 11   Channel volume 76
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   Instrument 28
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 11   CH 11   Channel volume 76
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   Instrument 28
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 11   CH 11   Channel volume 76
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   Instrument 28
BA    1   CR         0   TR 11   CH 11   NT  F#--        23/96   von=100
BA    1   CR         0   TR 11   CH 11   NT  B--         23/96
BA    1   CR         0   TR 12   CH 16   Text type 3: "Video Game MIDI Series #3, MIDI File #70 -- Sequenced on 2010, March 06"
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &50
BA    1   CR         0   TR 12   CH 12   Channel volume 89
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &50
BA    1   CR         0   TR 12   CH 12   Channel volume 89
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 37
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &50
BA    1   CR         0   TR 12   CH 12   Channel volume 89
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 37
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &50
BA    1   CR         0   TR 12   CH 12   Channel volume 89
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 37
BA    1   CR         0   TR 13   CH 16   Text type 3: "Visit "Music of the Game II:  Café De La Luna" for more MIDI goodness!"
BA    1   CR         0   TR 13   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 13   CH 16   Channel volume 89
BA    1   CR         0   TR 13   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 13   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 13   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 13   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 13   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 13   CH 16   Channel volume 89
BA    1   CR         0   TR 13   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 13   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 13   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 13   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 13   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 13   CH 16   Channel volume 89
BA    1   CR         0   TR 13   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 13   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 13   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 13   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 13   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 13   CH 16   Channel volume 89
BA    1   CR         0   TR 13   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 14   CH 16   Text type 3: "-=( http://go.to/KillerMegabytesCo/MotG2/ )=-"
BA    1   CR         0   TR 14   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 14   CH 16   Channel volume 89
BA    1   CR         0   TR 14   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 14   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 14   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 14   CH 16   Channel volume 89
BA    1   CR         0   TR 14   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 14   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 14   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 14   CH 16   Channel volume 89
BA    1   CR         0   TR 14   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 14   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 14   CH 16   ST &BF &0A &50
BA    1   CR         0   TR 14   CH 16   Channel volume 89
BA    1   CR         0   TR 14   CH 16   ST &EF &00 &40
BA    1   CR      1/96   TR  1   CH  1   Channel volume 0
BA    1   CR      1/96   TR  2   CH  2   Channel volume 1
BA    1   CR      1/48   TR  1   CH  1   Channel volume 0
BA    1   CR      1/48   TR  2   CH  2   Channel volume 2
BA    1   CR      1/32   TR  1   CH  1   Channel volume 1
BA    1   CR      1/32   TR  2   CH  2   Channel volume 2
BA    1   CR      1/24   TR  1   CH  1   Channel volume 1
BA    1   CR      1/24   TR  2   CH  2   Channel volume 3
BA    1   CR      5/96   TR  1   CH  1   Channel volume 1
BA    1   CR      5/96   TR  2   CH  2   Channel volume 4
BA    1   CR      1/16   TR  1   CH  1   Channel volume 2
BA    1   CR      1/16   TR  2   CH  2   Channel volume 4
BA    1   CR      7/96   TR  1   CH  1   Channel volume 2
BA    1   CR      7/96   TR  2   CH  2   Channel volume 5
BA    1   CR      1/12   TR  1   CH  1   Channel volume 3
BA    1   CR      1/12   TR  2   CH  2   Channel volume 5
BA    1   CR      3/32   TR  1   CH  1   Channel volume 3
BA    1   CR      3/32   TR  2   CH  2   Channel volume 6
BA    1   CR      5/48   TR  1   CH  1   Channel volume 3
BA    1   CR      5/48   TR  2   CH  2   Channel volume 7
BA    1   CR     11/96   TR  1   CH  1   Channel volume 4
BA    1   CR     11/96   TR  2   CH  2   Channel volume 7
BA    1   CR       1/8   TR  1   CH  1   Channel volume 4
BA    1   CR       1/8   TR  2   CH  2   Channel volume 8
BA    1   CR     13/96   TR  1   CH  1   Channel volume 4
BA    1   CR     13/96   TR  2   CH  2   Channel volume 8
BA    1   CR      7/48   TR  1   CH  1   Channel volume 5
BA    1   CR      7/48   TR  2   CH  2   Channel volume 9
BA    1   CR      5/32   TR  1   CH  1   Channel volume 5
BA    1   CR      5/32   TR  2   CH  2   Channel volume 10
BA    1   CR       1/6   TR  1   CH  1   Channel volume 6
BA    1   CR       1/6   TR  2   CH  2   Channel volume 10
BA    1   CR     17/96   TR  1   CH  1   Channel volume 6
BA    1   CR     17/96   TR  2   CH  2   Channel volume 11
BA    1   CR      3/16   TR  1   CH  1   Channel volume 6
BA    1   CR      3/16   TR  2   CH  2   Channel volume 11
BA    1   CR     19/96   TR  1   CH  1   Channel volume 7
BA    1   CR     19/96   TR  2   CH  2   Channel volume 12
BA    1   CR      5/24   TR  1   CH  1   Channel volume 7
BA    1   CR      5/24   TR  2   CH  2   Channel volume 13
BA    1   CR      7/32   TR  1   CH  1   Channel volume 8
BA    1   CR      7/32   TR  2   CH  2   Channel volume 13
BA    1   CR     11/48   TR  1   CH  1   Channel volume 8
BA    1   CR     11/48   TR  2   CH  2   Channel volume 14
BA    1   CR     23/96   TR  1   CH  1   Channel volume 8
BA    1   CR     23/96   TR  2   CH  2   Channel volume 14
BA    1   CR       1/4   TR  1   CH  1   Channel volume 9
BA    1   CR       1/4   TR  2   CH  2   Channel volume 15
BA    1   CR       1/4   TR  5   CH  5   NT  B'          23/96
BA    1   CR       1/4   TR  9   CH  9   NT  B-          11/96
BA    1   CR     25/96   TR  1   CH  1   Channel volume 9
BA    1   CR     25/96   TR  2   CH  2   Channel volume 15
BA    1   CR     13/48   TR  1   CH  1   Channel volume 9
BA    1   CR     13/48   TR  2   CH  2   Channel volume 16
BA    1   CR      9/32   TR  1   CH  1   Channel volume 10
BA    1   CR      9/32   TR  2   CH  2   Channel volume 17
BA    1   CR      7/24   TR  1   CH  1   Channel volume 10
BA    1   CR      7/24   TR  2   CH  2   Channel volume 17
BA    1   CR     29/96   TR  1   CH  1   Channel volume 11
BA    1   CR     29/96   TR  2   CH  2   Channel volume 18
BA    1   CR      5/16   TR  1   CH  1   Channel volume 11
BA    1   CR      5/16   TR  2   CH  2   Channel volume 18
BA    1   CR     31/96   TR  1   CH  1   Channel volume 11
BA    1   CR     31/96   TR  2   CH  2   Channel volume 19
BA    1   CR       1/3   TR  1   CH  1   Channel volume 12
BA    1   CR       1/3   TR  2   CH  2   Channel volume 20
BA    1   CR     11/32   TR  1   CH  1   Channel volume 12
BA    1   CR     11/32   TR  2   CH  2   Channel volume 20
BA    1   CR     17/48   TR  1   CH  1   Channel volume 13
BA    1   CR     17/48   TR  2   CH  2   Channel volume 21
BA    1   CR     35/96   TR  1   CH  1   Channel volume 13
BA    1   CR     35/96   TR  2   CH  2   Channel volume 21
BA    1   CR       3/8   TR  1   CH  1   Channel volume 13
BA    1   CR       3/8   TR  2   CH  2   Channel volume 22
BA    1   CR     37/96   TR  1   CH  1   Channel volume 14
BA    1   CR     37/96   TR  2   CH  2   Channel volume 23
BA    1   CR     19/48   TR  1   CH  1   Channel volume 14
BA    1   CR     19/48   TR  2   CH  2   Channel volume 23
BA    1   CR     13/32   TR  1   CH  1   Channel volume 14
BA    1   CR     13/32   TR  2   CH  2   Channel volume 24
BA    1   CR      5/12   TR  1   CH  1   Channel volume 15
BA    1   CR      5/12   TR  2   CH  2   Channel volume 24
BA    1   CR     41/96   TR  1   CH  1   Channel volume 15
BA    1   CR     41/96   TR  2   CH  2   Channel volume 25
BA    1   CR      7/16   TR  1   CH  1   Channel volume 16
BA    1   CR      7/16   TR  2   CH  2   Channel volume 26
BA    1   CR     43/96   TR  1   CH  1   Channel volume 16
BA    1   CR     43/96   TR  2   CH  2   Channel volume 26
